id;spellid;iconname
557;133;Spell_Frost_WizardMark
558;2802;INV_Misc_Coin_04
559;2801;INV_Misc_Coin_01
560;1751;INV_Misc_Head_Murloc_01
561;3476;Achievement_Zone_BoreanTundra_11
562;1899;INV_Trinket_Naxxramas04
563;1899;INV_Trinket_Naxxramas04
564;2956;Ability_Rogue_DeviousPoisons
565;2956;Ability_Rogue_DeviousPoisons
566;2997;INV_Misc_Cauldron_Nature
567;2997;INV_Misc_Cauldron_Nature
568;2639;Spell_Deathknight_ClassIcon
569;2639;Spell_Deathknight_ClassIcon
572;1700;INV_Misc_Head_Dragon_Blue
573;1700;INV_Misc_Head_Dragon_Blue
574;1898;INV_Trinket_Naxxramas06
575;1898;INV_Trinket_Naxxramas06
576;3258;Achievement_Dungeon_Naxxramas_Normal
577;3259;Achievement_Dungeon_Naxxramas_10man
578;61;Spell_Shadow_RaiseDead
579;61;Spell_Shadow_RaiseDead
582;2268;Spell_Holy_Heroism
583;2729;Ability_Warrior_IntensifyRage
584;2285;Ability_Hunter_RapidKilling
585;1;Trade_Engineering
586;1;Trade_Engineering
587;2837;Ability_Druid_GaleWinds
588;1;Trade_Engineering
589;1;Trade_Engineering
590;1;Trade_Engineering
593;1;Trade_Engineering
594;1;Trade_Engineering
595;1;Trade_Engineering
596;1;Trade_Engineering
603;2815;INV_Trinket_Thrallmar
604;2503;INV_Trinket_HonorHold
605;2717;INV_Misc_ElvenCoins
606;2717;INV_Misc_ElvenCoins
607;2717;INV_Misc_ElvenCoins
608;2717;INV_Misc_ElvenCoins
609;2717;INV_Misc_ElvenCoins
610;5216;inv_axe_60
611;3669;Achievement_Leader_Cairne Bloodhoof
612;3661;Achievement_Leader_Sylvanas
613;3670;Achievement_Leader_Lorthemar_Theron 
614;1704;INV_BannerPVP_02
615;3671;Achievement_Leader_King_Varian_Wrynn
616;3784;achievement_zone_ironforge
617;3673;Achievement_Leader_Tyrande_Whisperwind
618;3674;Achievement_Leader_Prophet_Velen
619;1703;INV_BannerPVP_01
621;2637;INV_Shirt_GuildTabard_01
622;3256;Achievement_Dungeon_NexusRaid
623;3257;Achievement_Dungeon_NexusRaid_10man
624;3253;Achievement_Dungeon_CoABlackDragonflight_Heroic
625;3255;Achievement_Dungeon_CoABlackDragonflight_10man
626;2789;INV_Chest_Cloth_59
627;3531;Achievement_Zone_DunMorogh
628;1751;INV_Misc_Head_Murloc_01
629;1662;Racial_Orc_BerserkerStrength
630;3654;Achievement_Boss_Mutanus_the_Devourer
631;4838;inv_helm_robe_dungeonrobe_c_04
632;3653;Achievement_Boss_Bazil_Akumai
633;2690;INV_Misc_Head_Gnoll_01
634;3641;Achievement_Boss_Mekgineer_Thermaplugg 
635;3686;Achievement_Boss_CharlgaRazorflank
636;3655;Achievement_Boss_Amnennar_the_Coldbringer
637;121;Spell_Holy_Resurrection
638;3656;Achievement_Boss_Archaedas
639;3687;Achievement_Boss_ChiefUkorzSandscalp
640;3689;Achievement_Boss_PrincessTheradras
641;3690;Achievement_Boss_ShadeOfEranikus
642;3662;Achievement_Boss_EmperorDagranThaurissan
643;3650;Achievement_Boss_Overlord_Wyrmthalak
644;559;Ability_Warrior_DecisiveStrike
645;308;Spell_Holy_SenseUndead
646;2718;Spell_DeathKnight_ArmyOfTheDead
647;3680;Achievement_Boss_OmarTheUnscarred_01
648;3629;Achievement_Boss_KelidanTheBreaker
649;3591;Achievement_Boss_Quagmirran
650;3823;Achievement_Boss_theBlackStalker
651;3666;Achievement_Boss_Nexus_Prince_Shaffar
652;3824;Achievement_Boss_EpochHunter
653;3631;Achievement_Boss_TalonKingIkiss
654;3825;Achievement_Boss_Murmur
655;3826;Achievement_Boss_Aeonus_01
656;3657;Achievement_Boss_Warlord_Kalithresh
657;3827;Achievement_Boss_KargathBladefist_01
658;3688;Achievement_Boss_PathaleonTheCalculator
659;3642;Achievement_Boss_WarpSplinter
660;3659;Achievement_Boss_Harbinger_Skyriss
661;3665;Achievement_Boss_Kael'thasSunstrider_01
662;2795;INV_DiabloStone
663;2531;INV_Belt_05
664;214;Spell_Shadow_SummonFelHunter
665;2449;INV_Netherwhelp
666;3590;Achievement_Boss_Exarch_Maladaar
667;3680;Achievement_Boss_OmarTheUnscarred_01
668;3629;Achievement_Boss_KelidanTheBreaker
669;3591;Achievement_Boss_Quagmirran
670;3823;Achievement_Boss_theBlackStalker
671;3666;Achievement_Boss_Nexus_Prince_Shaffar
672;3590;Achievement_Boss_Exarch_Maladaar
673;3824;Achievement_Boss_EpochHunter
674;3631;Achievement_Boss_TalonKingIkiss
675;3825;Achievement_Boss_Murmur
676;3826;Achievement_Boss_Aeonus_01
677;3657;Achievement_Boss_Warlord_Kalithresh
678;3827;Achievement_Boss_KargathBladefist_01
679;3688;Achievement_Boss_PathaleonTheCalculator
680;3642;Achievement_Boss_WarpSplinter
681;3659;Achievement_Boss_Harbinger_Skyriss
682;3664;Achievement_Boss_Kael'thasSunstrider_01
683;3752;INV_PET_FROSTWYRM
684;3820;Achievement_Boss_Onyxia
685;3817;Achievement_Boss_Nefarion
686;3819;Achievement_Boss_Ragnaros
687;3677;Achievement_Boss_CThun
688;3651;Achievement_Boss_Hakkar
689;3681;Achievement_Boss_OssirianTheUnscarred
690;3828;Achievement_Boss_PrinceMalchezaar_02
691;3630;Achievement_Boss_Zuljin
692;3628;Achievement_Boss_GruulTheDragonkiller
693;3640;Achievement_Boss_Magtheridon
694;3658;Achievement_Boss_LadyVashj
695;3639;Achievement_Boss_Archimonde 
696;3284;Achievement_Character_Bloodelf_Male
697;3663;Achievement_Boss_Illidan
698;3592;Achievement_Boss_Kiljaedan
699;535;Ability_Hunter_Pathfinding
700;2811;INV_Jewelry_TrinketPVP_02
701;2812;INV_Jewelry_TrinketPVP_01
705;279;Ability_Warrior_OffensiveStance
706;2826;INV_Jewelry_FrostwolfTrinket_01
707;2827;INV_Jewelry_StormPikeTrinket_01
708;2828;INV_Jewelry_FrostwolfTrinket_05
709;2829;INV_Jewelry_StormPikeTrinket_05
710;2847;Spell_Shadow_PsychicHorrors
711;1934;Ability_Warrior_RallyingCry
712;282;Ability_Warrior_WarCry
713;131;Ability_Racial_ShadowMeld
714;2563;INV_Misc_TabardPVP_04
725;2842;INV_WEAPON_BOW_39
726;2105;INV_Misc_Fish_14
727;1178;Ability_Mount_BlackDireWolf
728;3532;Achievement_Zone_Durotar
729;1241;Ability_Mount_Undeadhorse
730;1657;INV_Misc_Note_02
731;2846;INV_Misc_Note_01
732;2846;INV_Misc_Note_01
733;2846;INV_Misc_Note_01
734;2846;INV_Misc_Note_01
735;162;Ability_Repair
736;3562;Achievement_Zone_Mulgore_01
750;3547;Achievement_Zone_Barrens_01
753;1;Trade_Engineering
759;1;Trade_Engineering
761;3542;Achievement_Zone_ArathiHighlands_01
762;3374;Achievement_PVP_H_16
763;2365;Spell_Fire_FelFireward
764;2365;Spell_Fire_FelFireward
765;3546;Achievement_Zone_Badlands_01
766;3550;Achievement_Zone_BlastedLands_01
768;3570;Achievement_Zone_TirisfalGlades_01
769;3576;Achievement_Zone_Silverpine_01
770;3571;Achievement_Zone_WesternPlaguelands_01
771;3535;Achievement_Zone_EasternPlaguelands
772;3555;Achievement_Zone_HillsbradFoothills
773;3556;Achievement_Zone_Hinterlands_01
774;3566;Achievement_Zone_SearingGorge_01
775;3552;Achievement_Zone_BurningSteppes_01
776;3536;Achievement_Zone_ElwynnForest
777;3529;Achievement_Zone_DeadwindPass
778;3533;Achievement_Zone_Duskwood
779;3558;Achievement_Zone_LochModan
780;3565;Achievement_Zone_RedridgeMountains
781;3568;Achievement_Zone_Stranglethorn_01
782;3569;Achievement_Zone_SwampSorrows_01
783;2830;INV_BRD_Banner
784;2830;INV_BRD_Banner
796;1;Trade_Engineering
798;1;Trade_Engineering
799;1;Trade_Engineering
800;1;Trade_Engineering
801;1;Trade_Engineering
802;3572;Achievement_Zone_WestFall_01
811;1;Trade_Engineering
812;1;Trade_Engineering
829;1;Trade_Engineering
830;1;Trade_Engineering
837;1;Trade_Engineering
838;1;Trade_Engineering
839;1;Trade_Engineering
840;1;Trade_Engineering
841;3573;Achievement_Zone_Wetlands_01
842;3528;Achievement_Zone_Darnassus
843;3564;Achievement_Zone_Netherstorm_01
844;3553;Achievement_Zone_Darkshore_01
845;3543;Achievement_Zone_Ashenvale_01
846;3580;Achievement_Zone_ThousandNeedles_01
847;3578;Achievement_Zone_Stonetalon_01
848;3530;Achievement_Zone_Desolace
849;3539;Achievement_Zone_Feralas
850;3534;Achievement_Zone_DustwallowMarsh
851;3577;Achievement_Zone_Tanaris_01
852;3544;Achievement_Zone_Azshara_01
853;3538;Achievement_Zone_Felwood
854;3588;Achievement_Zone_UnGoroCrater_01
855;1660;Spell_Arcane_TeleportMoonglade
856;3567;Achievement_Zone_Silithus_01
857;3587;Achievement_Zone_Winterspring
858;3540;Achievement_Zone_Ghostlands
859;3537;Achievement_Zone_EversongWoods
860;3545;Achievement_Zone_AzuremystIsle_01
861;3551;Achievement_Zone_BloodmystIsle_01
862;3554;Achievement_Zone_HellfirePeninsula_01
863;3585;Achievement_Zone_Zangarmarsh
864;3584;Achievement_Zone_Shadowmoon
865;3549;Achievement_Zone_BladesEdgeMtns_01
866;3563;Achievement_Zone_Nagrand_01
867;3586;Achievement_Zone_Terrokar
868;3557;Achievement_Zone_IsleOfQuelDanas
869;3461;Achievement_PVP_P_14
870;3453;Achievement_PVP_P_15
871;2421;INV_Helmet_66
872;3484;Achievement_BG_returnXflags_def_WSG
873;2898;INV_Jewelry_FrostwolfTrinket_03
875;3594;Achievement_FeatsOfStrength_Gladiator_02
876;3595;Achievement_FeatsOfStrength_Gladiator_03
877;2917;INV_Misc_CelebrationCake_01
878;2918;INV_Misc_Fish_35
879;1177;Ability_Mount_MountainRam
880;1181;Ability_Mount_JungleTiger
881;1180;Ability_Mount_Raptor
882;1715;Ability_Mount_Dreadsteed
883;2467;INV-Mount_Raven_54
884;2399;Ability_Mount_CockatriceMountElite_Green
885;1927;Inv_Misc_SummerFest_BrazierOrange
886;2333;Ability_Mount_NetherDrakeElite
887;2333;Ability_Mount_NetherDrakeElite
888;2333;Ability_Mount_NetherDrakeElite
889;836;Ability_Mount_BlackPanther
890;2054;Ability_Mount_Gryphon_01
891;1176;Ability_Mount_RidingHorse
892;2055;Ability_Mount_Wyvern_01
893;2554;Ability_Mount_WarHippogryph
894;2422;Ability_Hunter_Pet_NetherRay
896;2448;INV_Misc_Apexis_Crystal
897;2807;INV_Shield_48
898;1928;Ability_Mount_NetherdrakePurple
899;2208;INV_Misc_Foot_Centaur
900;2920;INV_Mushroom_11
901;2208;INV_Misc_Foot_Centaur
902;2558;INV_Enchant_ShardPrismaticLarge
903;2174;Spell_Arcane_PortalShattrath
905;3693;Achievement_Profession_Fishing_OldManBarlowned
906;2923;INV_Misc_Cauldron_Arcane
907;2924;INV_Misc_TabardPVP_03
908;2841;Ability_Warrior_Incite
909;2841;Ability_Warrior_Incite
910;2218;Spell_Holy_SymbolOfHope
911;2218;Spell_Holy_SymbolOfHope
912;2218;Spell_Holy_SymbolOfHope
913;3698;Achievement_WorldEvent_Lunar
914;2218;Spell_Holy_SymbolOfHope
915;2218;Spell_Holy_SymbolOfHope
916;1;Trade_Engineering
917;1;Trade_Engineering
918;1;Trade_Engineering
919;1;Trade_Engineering
921;1;Trade_Engineering
922;1;Trade_Engineering
923;1;Trade_Engineering
924;1;Trade_Engineering
925;1;Trade_Engineering
926;1;Trade_Engineering
927;1;Trade_Engineering
928;1;Trade_Engineering
931;1;Trade_Engineering
932;1;Trade_Engineering
933;1;Trade_Engineering
934;1;Trade_Engineering
937;2821;Spell_Holy_Aspiration
938;1581;Ability_Hunter_Pet_Crocolisk
939;2165;Ability_Mount_RidingElekk
940;916;Ability_Mount_WhiteTiger
941;2926;INV_Weapon_Rifle_05
942;2737;INV_Helmet_44
943;2737;INV_Helmet_44
944;3685;Achievement_Reputation_timbermaw
945;2139;Spell_Holy_HolyGuidance
946;1608;INV_Jewelry_Talisman_07
947;1672;INV_Jewelry_Talisman_08
948;3375;Achievement_PVP_A_16
949;3702;Achievement_Reputation_Tuskarr
950;956;Ability_Mount_WhiteDireWolf
951;1751;INV_Misc_Head_Murloc_01
952;229;Spell_Nature_MirrorImage
953;553;Ability_Racial_Ultravision
955;2134;Spell_Frost_SummonWaterElemental_2
956;1701;INV_Misc_Head_Dragon_Bronze
957;2745;INV_Bijou_Green
958;3696;Achievement_Reputation_AshtongueDeathsworn
959;2937;INV_Enchant_DustIllusion
960;1487;Spell_Holy_MindSooth
961;3477;Achievement_Zone_Sholazar_08
962;3478;Achievement_Zone_Sholazar_11
963;3509;Achievement_Halloween_Candy_01
964;2901;Spell_Shadow_TwistedFaith
965;3509;Achievement_Halloween_Candy_01
966;2951;INV_Misc_Food_27
967;2951;INV_Misc_Food_27
968;2952;INV_Misc_Food_29
969;2952;INV_Misc_Food_29
971;1743;INV_Misc_Food_28
972;2652;INV_Misc_Food_30
973;3424;Achievement_Quests_Completed_Daily_01
974;3425;Achievement_Quests_Completed_Daily_02
975;3426;Achievement_Quests_Completed_Daily_03
976;3427;Achievement_Quests_Completed_Daily_04
977;3428;Achievement_Quests_Completed_Daily_05
978;3414;Achievement_Quests_Completed_08
979;2954;INV_Mask_06
980;2628;INV_Belt_12
981;3510;Achievement_Halloween_Smiley_01
1005;245;Ability_Gouge
1006;3575;Achievement_PVP_H_H
1007;3684;Achievement_Reputation_WyrmrestTemple
1008;3682;Achievement_Reputation_KirinTor
1009;3683;Achievement_Reputation_KnightsoftheEbonBlade
1010;2207;Spell_Misc_HellifrePVPCombatMorale
1011;2625;Spell_Misc_HellifrePVPThrallmarFavor
1012;2413;Spell_Misc_HellifrePVPHonorHoldFavor
1014;3603;Achievement_Reputation_07
1015;3602;Achievement_Reputation_08
1017;1522;INV_Box_PetCarrier_01
1020;2637;INV_Shirt_GuildTabard_01
1021;3040;INV_Chest_Cloth_30
1022;1923;INV_SummerFest_FireSpirit
1023;1923;INV_SummerFest_FireSpirit
1024;1923;INV_SummerFest_FireSpirit
1025;1923;INV_SummerFest_FireSpirit
1026;1923;INV_SummerFest_FireSpirit
1027;1923;INV_SummerFest_FireSpirit
1028;1920;Spell_Fire_MasterOfElements
1029;1920;Spell_Fire_MasterOfElements
1030;1920;Spell_Fire_MasterOfElements
1031;1920;Spell_Fire_MasterOfElements
1032;1920;Spell_Fire_MasterOfElements
1033;1920;Spell_Fire_MasterOfElements
1034;12;Spell_Fire_Fireball
1035;1920;Spell_Fire_MasterOfElements
1036;12;Spell_Fire_Fireball
1037;1920;Spell_Fire_MasterOfElements
1038;2974;INV_SummerFest_Symbol_High
1039;2975;INV_SummerFest_Symbol_Low
1040;3480;Achievement_Halloween_RottenEgg_01
1041;3480;Achievement_Halloween_RottenEgg_01
1042;1;Trade_Engineering
1043;1;Trade_Engineering
1044;1;Trade_Engineering
1045;1;Trade_Engineering
1047;1;Trade_Engineering
1057;1;Trade_Engineering
1065;1;Trade_Engineering
1066;1;Trade_Engineering
1067;1;Trade_Engineering
1068;541;Spell_Shadow_BloodBoil
1069;1677;Spell_Nature_GroundingTotem
1070;1701;INV_Misc_Head_Dragon_Bronze
1071;2051;INV_MISC_HERB_06
1072;2603;Spell_Nature_ElementalPrecision_2
1073;2796;INV_Staff_52
1074;2378;INV_Feather_13
1075;2793;INV_Mace_54
1076;1699;INV_Misc_Head_Dragon_Black
1077;1647;INV_Spear_04
1078;1962;Ability_Warrior_EndlessRage
1079;2529;INV_Wand_19
1080;2794;INV_Weapon_Shortblade_57
1081;2313;INV_DataCrystal02
1082;2787;INV_Misc_PheonixPet_01
1083;2294;Spell_Arcane_Blast
1084;2806;INV_Helmet_114
1085;2798;INV_SHOULDER_59
1086;2675;INV_Weapon_Halberd14
1087;2379;INV_Elemental_Primal_Water
1088;2800;INV_Staff_73
1089;2596;INV_Weapon_Glave_01
1090;2807;INV_Shield_48
1091;2692;INV_Misc_Bandana_03
