SpellId;SpellNameDE;SpellNameEN
1449;Arkane Explosion;Arcane Explosion
1454;Aderlass;Life Tap
1459;Arkane Brillanz;Arcane Brilliance
1462;Wildtierkunde;Beast Lore
1463;Schutz des Beschwörers;Incanter's Ward
1464;Zerschmettern;Slam
1485;Rollender Brocken;Metawheel Boulder
1490;Fluch der Elemente;Curse of the Elements
1494;Wildtiere aufspüren;Track Beasts
1499;Eiskältefalle;Freezing Trap
1513;Wildtier ängstigen;Scare Beast
1515;Wildtier zähmen;Tame Beast
1516;Schnellschuss;Quick Shot
1522;Tier-Ausbau (NYI);Pet Upgrade (NYI)
1528;Meister befreien;Free Master
1535;Feuernova;Fire Nova
1536;Langschuss II;Longshot II
1538;Laden;Charging
1539;Tier füttern;Feed Pet
1543;Leuchtfeuer;Flare
1557;Volles Tempo;Full Speed
1588;Tier-Ausbau;Pet Upgrade
1604;Benommen;Dazed
1609;Kreissäge des Aschenbringers;Ashbringer Buzzsaw
1645;Worgenform;Worgen Form
1650;Verlangsamender Stoß III;Slowing Strike III
1664;Wilder Sturmangriff IV;Savage Assault IV
1665;Wilder Sturmangriff V;Savage Assault V
1666;Wilder Sturmangriff;Savage Assault
1669;Wilder Sturmangriff IV;Savage Assault IV
1680;Wirbelwind;Whirlwind
1706;Levitieren;Levitate
1715;Kniesehne;Hamstring
1719;Tollkühnheit;Recklessness
1725;Ablenken;Distract
1742;Ducken;Cower
1752;Finsterer Stoß;Sinister Strike
1766;Tritt;Kick
1776;Solarplexus;Gouge
1784;Verstohlenheit;Stealth
1795;Entmutigender Schlag II;Disheartening Blow II
1796;Entmutigender Schlag III;Disheartening Blow III
1797;Entmutigender Schlag IV;Disheartening Blow IV
1798;Entmutigender Schlag V;Disheartening Blow V
1800;Entmutigender Schlag II;Disheartening Blow II
1804;Schloss knacken;Pick Lock
1809;Schlossknacken;Lockpicking
1810;Schlossknacken;Lockpicking
1822;Krallenhieb;Rake
1825;Tier verleihen (NYI);Lend Pet (NYI)
1833;Fieser Trick;Cheap Shot
1834;Sammelt Tempo an;Gathering Speed
1842;Falle entschärfen;Disarm Trap
1843;Entschärfen;Disarm
1844;Entwaffnender Zorn;Disarming Fury Effect
1848;Rutengangbeschwörungsgesang;Divining Chant
1850;Spurt;Dash
1852;Zum Schweigen gebracht;Silenced
1856;Verschwinden;Vanish
1860;Sicheres Fallen;Safe Fall
1881;Jungtier des Zaraschwarms beschwören;Summon Hive'Zara Hatchling
1906;Entkräftender Sturmangriff;Debilitating Charge
1936;Teleport nach Ambossar;Teleport Anvilmar
1940;Raketenschlag;Rocket Blast
1943;Blutung;Rupture
1949;Höllenfeuer;Hellfire
1950;Großer Schattenwichtel;Greater Shadow Imp
1953;Blinzeln;Blink
1966;Finte;Feint
1978;Schlangengift;Serpent Sting
2000;Kopfschuss;Head Shot
2006;Auferstehung;Resurrection
2008;Geist der Ahnen;Ancestral Spirit
2018;Schmiedekunst;Blacksmithing
2020;Schmiedekunstlehrling;Apprentice Blacksmith
2021;Schmiedekunstgeselle;Journeyman Blacksmith
2023;Mana wiederherstellen;Restore Mana
2024;Heiltrank;Healing Potion
2050;Heilung;Heal
2060;Große Heilung;Greater Heal
2061;Blitzheilung;Flash Heal
2062;Totem des Erdelementars;Earth Elemental Totem
2075;Totem der Verbrennung;Searing Totem
2094;Blenden;Blind
2096;Gedankensicht;Mind Vision
2098;Ausweiden;Eviscerate
2108;Lederverarbeitung;Leatherworking
2110;FEUERSTAB (DND);FIRESTAFF (DND)
2118;Ausweichmeisterschaft;Dodge Mastery
2119;Naturwiderstand;Nature Resist
2120;Flammenstoß;Flamestrike
2123;Heilige Vorliebe;Holy Affinity
2136;Feuerschlag;Fire Blast
2139;Gegenzauber;Counterspell
2140;Stasis;Stasis Effect
2147;Besserung;Mending
2148;Regelmäßiger Schattensturm;Periodic Shadow Storm
2149;Handgenähte Lederstiefel;Handstitched Leather Boots
2152;Leichtes Rüstungsset;Light Armor Kit
2153;Handgenähte Lederhose;Handstitched Leather Pants
2154;Lederverarbeitungsgeselle;Journeyman Leatherworker
2155;Lederverarbeitungslehrling;Apprentice Leatherworker
2156;Leichter Winterumhang;Light Winter Cloak
2157;Leichte Winterstiefel;Light Winter Boots
2158;Feine Lederstiefel;Fine Leather Boots
2159;Feiner Lederumhang;Fine Leather Cloak
2160;Geprägte Lederweste;Embossed Leather Vest
2161;Geprägte Lederstiefel;Embossed Leather Boots
2162;Geprägter Lederumhang;Embossed Leather Cloak
2163;Weißes Lederwams;White Leather Jerkin
2164;Feine Lederhandschuhe;Fine Leather Gloves
2165;Mittleres Rüstungsset;Medium Armor Kit
2166;Gekräftigte Lederrüstung;Toughened Leather Armor
2167;Dunkle Lederstiefel;Dark Leather Boots
2168;Dunkler Lederumhang;Dark Leather Cloak
2169;Dunkle Ledertunika;Dark Leather Tunic
2259;Alchemie;Alchemy
2275;Alchemielehrling;Apprentice Alchemist
2280;Alchemiegeselle;Journeyman Alchemist
2313;Wahre Erfüllung;True Fulfillment
2329;Elixier der Löwenstärke;Elixir of Lion's Strength
2330;Schwacher Heiltrank;Minor Healing Potion
2331;Schwacher Manatrank;Minor Mana Potion
2332;Schwacher Verjüngungstrank;Minor Rejuvenation Potion
2333;Elixier der geringen Beweglichkeit;Elixir of Lesser Agility
2334;Elixier der schwachen Seelenstärke;Elixir of Minor Fortitude
2335;Hurtigkeitstrank;Swiftness Potion
2337;Geringer Heiltrank;Lesser Healing Potion
2366;Kräutersammeln;Herb Gathering
2367;Löwenstärke;Lion's Strength
2368;Kräutersammeln;Herb Gathering
2369;Kräutersammeln;Herb Gathering
2370;Verjüngungstrank;Rejuvenation Potion
2371;Kräutersammeln;Herb Gathering
2372;Kräuterkundelehrling;Apprentice Herbalist
2373;Kräuterkundegeselle;Journeyman Herbalist
2374;Geringe Beweglichkeit;Minor Agility
2378;Geringe Seelenstärke;Minor Fortitude
2379;Tempo;Speed
2380;Widerstand;Resistance
2381;Resistance (OLD);Resistance (OLD)
2382;Allgemein;Generic
2383;Kräutersuche;Find Herbs
2385;Braune Leinenweste;Brown Linen Vest
2386;Leinenstiefel;Linen Boots
2387;Leinenumhang;Linen Cloak
2389;Rote Leinenrobe;Red Linen Robe
2392;Rotes Leinenhemd;Red Linen Shirt
2393;Weißes Leinenhemd;White Linen Shirt
2394;Blaues Leinenhemd;Blue Linen Shirt
2395;Barbarische Leinenweste;Barbaric Linen Vest
2396;Grünes Leinenhemd;Green Linen Shirt
2397;Verstärktes Leinencape;Reinforced Linen Cape
2399;Grüne Wollweste;Green Woolen Vest
2400;Kraft übertragen;Transfer Power
2401;Wollstiefel;Woolen Boots
2402;Wollcape;Woolen Cape
2403;Graue Wollrobe;Gray Woolen Robe
2406;Graues Wollhemd;Gray Woolen Shirt
2425;Gefleckt;Spotted
2426;Basis-Verstohlenheit;Base Stealth
2442;Zerkrachender Draufschlag;Smashing Blow
2443;Zerkrachender Draufschlag II;Smashing Blow II
2444;Zerkrachender Draufschlag III;Smashing Blow III
2446;Zerkrachender Draufschlag V;Smashing Blow V
2457;Kampfhaltung;Battle Stance
2458;Berserkerhaltung;Berserker Stance
2479;Ehrenloses Ziel;Honorless Target
2481;Schatzsucher;Find Treasure
2484;Totem der Erdbindung;Earthbind Totem
2538;Verkohltes Wolfsfleisch;Charred Wolf Meat
2539;Gewürztes Wolfsfleisch;Spiced Wolf Meat
2540;Geröstetes Eberfleisch;Roasted Boar Meat
2541;Kojotensteak;Coyote Steak
2542;Pastete aus Geiferzahnleber;Goretusk Liver Pie
2543;Westfalleintopf;Westfall Stew
2544;Krebsküchlein;Crab Cake
2545;Gekochte Krebsschere;Cooked Crab Claw
2546;Trockene Schweinerippchen;Dry Pork Ribs
2547;Rotkammgulasch;Redridge Goulash
2548;Saftige Schweinerippchen;Succulent Pork Ribs
2549;Gewürzter Wolfskebab;Seasoned Wolf Kabob
2550;Kochkunst;Cooking
2551;Kochlehrling;Apprentice Cook
2565;Schildblock;Shield Block
2567;Wurfwaffe;Thrown
2575;Bergbau;Mining
2576;Bergbau;Mining
2580;Mineraliensuche;Find Minerals
2581;Bergbaulehrling;Apprentice Miner
2582;Bergbaugeselle;Journeyman Miner
2584;Wartet auf Wiederbelebung;Waiting to Resurrect
2585;Eye of Kilrogg Passive (DND);Eye of Kilrogg Passive (DND)
2596;Berührung der Schwarzklaue;Touch of the Black Claw
2597;Verjüngungstrank;Rejuvenation Potion
2598;Rejuvenation (OLD);Rejuvenation (OLD)
2599;Verjüngungstrank;Rejuvenation Potion
2600;Verjüngungstrank;Rejuvenation Potion
2601;Feuerschild;Fire Shield
2602;Feuerschild;Fire Shield
2606;Schock;Shock
2607;Schock;Shock
2608;Schock;Shock
2609;Schock;Shock
2610;Schock;Shock
2629;Dolchschlag III (Deaktiviert);Dagger Strike III (Disabled)
2630;Dolchschlag IV (Deaktiviert);Dagger Strike IV (Disabled)
2633;Dolchschlag III;Dagger Strike III
2634;Dolchschlag IV;Dagger Strike IV
2636;Dolchschlag V;Dagger Strike V
2637;Winterschlaf;Hibernate
2639;Essen;Food
2641;Tier freigeben;Dismiss Pet
2643;Mehrfachschuss;Multi-Shot
2645;Geisterwolf;Ghost Wolf
2649;Knurren;Growl
2650;Tier zähmen (TEST);Tame Pet (TEST)
2656;Verhüttung;Smelting
2657;Kupfer verhütten;Smelt Copper
2658;Silber verhütten;Smelt Silver
2659;Bronze verhütten;Smelt Bronze
2660;Rauer Wetzstein;Rough Sharpening Stone
2661;Kupferkettengürtel;Copper Chain Belt
2662;Kupferkettenhose;Copper Chain Pants
2663;Kupferarmschienen;Copper Bracers
2664;Runenverzierte Kupferarmschienen;Runed Copper Bracers
2665;Grober Wetzstein;Coarse Sharpening Stone
2666;Runenverzierter Kupfergürtel;Runed Copper Belt
2667;Runenverzierte Kupferbrustplatte;Runed Copper Breastplate
2668;Raue bronzene Gamaschen;Rough Bronze Leggings
2670;Rauer bronzener Kürass;Rough Bronze Cuirass
2671;Raue bronzene Armschienen;Rough Bronze Bracers
2672;Gemusterte bronzene Armschienen;Patterned Bronze Bracers
2673;Bronzene Brustplatte mit Versilberung;Silvered Bronze Breastplate
2674;Schwerer Wetzstein;Heavy Sharpening Stone
2675;Leuchtende silberne Brustplatte;Shining Silver Breastplate
2676;Pulverisieren;Pulverize
2691;Manabrand;Mana Burn
2737;Kupferstreitkolben;Copper Mace
2738;Kupferaxt;Copper Axe
2739;Kupferkurzschwert;Copper Shortsword
2740;Bronzener Streitkolben;Bronze Mace
2741;Bronzene Axt;Bronze Axe
2742;Bronzenes Kurzschwert;Bronze Shortsword
2764;Werfen;Throw
2782;Verderbnis entfernen;Remove Corruption
2795;Eberrippchen in Biersauce;Beer Basted Boar Ribs
2812;Denunzierung;Denounce
2818;Tödliches Gift;Deadly Poison
2823;Tödliches Gift;Deadly Poison
2825;Kampfrausch;Bloodlust
2828;Klinge schärfen;Sharpen Blade
2829;Klinge schärfen II;Sharpen Blade II
2830;Klinge schärfen III;Sharpen Blade III
2831;Rüstung +8;Armor +8
2832;Rüstung +16;Armor +16
2833;Rüstung +24;Armor +24
2834;Regelmäßiger Donnerknall;Periodic Thunderclap
2836;Fallen entdecken;Detect Traps
2871;Krankheit neutralisieren;Nullify Disease
2880;Betäuben;Stun
2881;Leichtes Leder;Light Leather
2894;Totem des Feuerelementars;Fire Elemental Totem
2908;Besänftigen;Soothe
2912;Sternenfeuer;Starfire
2944;Verschlingende Seuche;Devouring Plague
2948;Versengen;Scorch
2950;Antiheilig;Anti-Holy
2963;Leinenstoffballen;Bolt of Linen Cloth
2964;Wollstoffballen;Bolt of Woolen Cloth
2969;Aura-Absaugen (PT);Aura Leech (PT)
2983;Sprinten;Sprint
3011;Feuerschuss;Fire Shot
3018;Schießen;Shoot
3019;Raserei;Frenzy
3025;Cat Form Passive;Cat Form Passive
3026;Seelenstein nutzen;Use Soulstone
3044;Arkaner Schuss;Arcane Shot
3045;Schnellfeuer;Rapid Fire
3050;Entdecken;Detect
3052;Feuerschild;Fire Shield Effect
3053;Feuerschild;Fire Shield
3054;Feuerschild;Fire Shield
3055;Feuerschild;Fire Shield Effect IV
3100;Schmiedekunst;Blacksmithing
3101;Alchemie;Alchemy
3102;Kochkunst;Cooking
3104;Lederverarbeitung;Leatherworking
3105;Stalvans Fluch;Curse of Stalvan
3106;Fäulnisaura;Aura of Rot
3107;Elizas Wache beschwören;Summon Eliza's Guard
3108;Berührung des Todes;Touch of Death
3109;Gegenwart des Todes;Presence of Death
3110;Feuerblitz;Firebolt
3112;Stumpfe Waffe verstärken;Enhance Blunt Weapon
3113;Stumpfe Waffe verstärken;Enhance Blunt Weapon II
3114;Stumpfe Waffe verstärken;Enhance Blunt Weapon III
3115;Rauer Gewichtsstein;Rough Weightstone
3116;Grober Gewichtsstein;Coarse Weightstone
3117;Schwerer Gewichtsstein;Heavy Weightstone
3120;Sol L;Sol L
3121;Kev;Kev
3127;Parieren;Parry
3129;Frostatem;Frost Breath
3130;Eisklaue;Ice Claw
3131;Frostatem;Frost Breath
3132;Unterkühlender Atem;Chilling Breath
3136;Rasender Befehl;Frenzied Command
3143;Gletschergebrüll;Glacial Roar
3145;Eisiger Griff;Icy Grasp
3146;Abschreckknurren;Daunting Growl
3147;Fleisch zerreißen;Rend Flesh
3148;Kopfkracher;Head Crack
3149;Wutgeheul;Furious Howl
3150;Tollwut;Rabies
3151;Wahnsinniger Hunger;Crazed Hunger
3160;Schwache Beweglichkeit;Lesser Agility
3164;Ogerstärke;Ogre's Strength
3166;Weisheit;Wisdom
3169;Unverwundbarkeit;Invulnerability
3170;Schwaches Trollblutelixier;Weak Troll's Blood Elixir
3171;Elixier der Weisheit;Elixir of Wisdom
3173;Geringer Manatrank;Lesser Mana Potion
3174;Trank der Genesung;Potion of Curing
3175;Begrenzter Unverwundbarkeitstrank;Limited Invulnerability Potion
3176;Starkes Trollblutelixier;Strong Troll's Blood Elixir
3177;Elixier der Verteidigung;Elixir of Defense
3188;Elixier der Ogerstärke;Elixir of Ogre's Strength
3204;Pionierexplosion;Sapper Explode
3205;Sol M;Sol M
3206;Sol H;Sol H
3207;Sol U;Sol U
3219;Schwaches Trollblut;Weak Troll's Blood
3220;Verteidigung;Defense
3222;Starkes Trollblutelixier;Strong Troll's Blood Elixir
3223;Erhebliches Trollblutelixier;Major Troll's Blood Elixir
3229;Schneller Kampfrausch;Quick Bloodlust
3230;Elixier der schwachen Beweglichkeit;Elixir of Minor Agility
3233;Böser Blick;Evil Eye
3234;Krankheitsberührung;Disease Touch
3235;Ranziges Blut;Rancid Blood
3237;Thules Fluch;Curse of Thule
3238;Behände Reflexe;Nimble Reflexes
3240;Blutige Explosion;Bloody Explosion
3242;Verheeren;Ravage
3243;Lebensernte;Life Harvest
3245;Huhn;Chicken
3246;Jahr des Huhns;Chicken Other
3247;Peinigender Schmerz;Agonizing Pain
3248;Verbessertes Blocken;Improved Blocking
3252;Schreddern;Shred
3256;Seuchenwolke;Plague Cloud
3258;Wilde Wut;Savage Rage
3260;Violetter Schild;Violet Shield Effect
3261;Entzünden;Ignite
3263;Berührung von Rabenklaue;Touch of Ravenclaw
3264;Blutgeheul;Blood Howl
3267;Erste Hilfe;First Aid
3268;Erste Hilfe;First Aid
3269;Thules Segen;Blessing of Thule
3271;Erschöpft;Fatigued
3273;Erste Hilfe;First Aid
3274;Erste Hilfe;First Aid
3275;Leinenverband;Linen Bandage
3276;Schwerer Leinenverband;Heavy Linen Bandage
3277;Wollverband;Wool Bandage
3278;Schwerer Wollverband;Heavy Wool Bandage
3279;Lehrling für Erste Hilfe;Apprentice First Aid
3280;Geselle für Erste Hilfe;Journeyman First Aid
3284;Gewaltschild;Violent Shield
3286;Binden;Bind
3287;Ghulgestalt;Ghoul Form
3288;Moosfell;Moss Hide
3292;Schweres Kupferbreitschwert;Heavy Copper Broadsword
3293;Kupferstreitaxt;Copper Battle Axe
3294;Dicke Kriegsaxt;Thick War Axe
3295;Tödlicher Bronzepoignard;Deadly Bronze Poniard
3296;Schwerer bronzener Streitkolben;Heavy Bronze Mace
3297;Mächtiger Eisenhammer;Mighty Iron Hammer
3304;Zinn verhütten;Smelt Tin
3307;Eisen verhütten;Smelt Iron
3308;Gold verhütten;Smelt Gold
3319;Kupferkettenstiefel;Copper Chain Boots
3320;Rauer Schleifstein;Rough Grinding Stone
3321;Kupferkettenweste;Copper Chain Vest
3322;Ranziges Blut;Rancid Blood
3323;Runenverzierte Kupferstulpen;Runed Copper Gauntlets
3324;Runenverzierte Kupferhose;Runed Copper Pants
3325;Edelsteinbesetzte Kupferstulpen;Gemmed Copper Gauntlets
3326;Grober Schleifstein;Coarse Grinding Stone
3328;Raue bronzene Schultern;Rough Bronze Shoulders
3329;Warziges Hautbild;Warty Complexion
3330;Bronzene Schultern mit Versilberung;Silvered Bronze Shoulders
3331;Bronzene Stiefel mit Versilberung;Silvered Bronze Boots
3332;Schleichendes Gift;Slow Poison
3333;Bronzene Stulpen mit Versilberung;Silvered Bronze Gauntlets
3334;Grüne Eisenstiefel;Green Iron Boots
3335;Dunkler Schlick;Dark Sludge
3336;Grüne Eisenstulpen;Green Iron Gauntlets
3337;Schwerer Schleifstein;Heavy Grinding Stone
3338;Ranziger Schlamm;Rancid Ooze
3339;Ranziger Schlamm;Rancid Ooze Effect
3355;Eiskältefalle;Freezing Trap
3356;Flammenpeitsche;Flame Lash
3358;Egelgift;Leech Poison
3359;Trank trinken;Drink Potion
3360;Fluch des Auges;Curse of the Eye
3361;Attrappe NSC Beschwören;Dummy NPC Summon
3363;Netherdrache;Nether Drake
3365;Öffnen;Opening
3366;Öffnen;Opening
3368;Schwachen Trank trinken;Drink Minor Potion
3369;Trank der Stärke II;Potion of Strength II
3370;Krokiliskensteak;Crocolisk Steak
3371;Blutwurst;Blood Sausage
3372;Murlocflossensuppe;Murloc Fin Soup
3373;Krokiliskengumbo;Crocolisk Gumbo
3376;Seltsam schmeckendes Omelett;Curiously Tasty Omelet
3377;Klebriger Spinnenkuchen;Gooey Spider Cake
3385;Eberangriff;Boar Charge
3387;Thules Wut;Rage of Thule
3388;Tödliches Egelgift;Deadly Leech Poison
3389;Zauberschutz des Auges;Ward of the Eye
3390;Helculars Brut;Helcular's Spawn
3391;Hauen;Thrash
3393;Fleisch verzehren;Consume Flesh
3394;Fleisch verzehren;Consume Flesh
3396;Ätzgift;Corrosive Poison
3397;Großes Bärensteak;Big Bear Steak
3398;Scharfe Löwenkoteletts;Hot Lion Chops
3399;Schmackhaftes Löwensteak;Tasty Lion Steak
