AchievementId;NameDE;NameEN;DescriptionDE;DescriptionEN;CategoryId;SpellId
2756;Ehrgeiz beim Argentumturnier;Argent Aspiration;Trainiert, um am Argentumturnier als Streiter der Fraktion Eures Volkes teilzunehmen.;Train to compete in the Argent Tournament by becoming an Aspirant for your race's faction.;3805
3579;"ESSENSSCHLACHT!";"FOOD FIGHT!";Werft an einem reich gedeckten Tisch einem anderen Gast Essen an den Kopf.;Bounce food off a fellow feaster's head at a Bountiful Table.;456
3776;Sieg auf der Insel der Eroberung;Isle of Conquest Victory;Gewinnt auf der Insel der Eroberung.;Win Isle of Conquest.;4002
4825;Erkundet Vashj'ir;Explore Vashj'ir;Erkundet Vashj'ir und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Vashj'ir, revealing the covered areas of the world map.;4497
4833;Schwarzfelshöhlen;Blackrock Caverns;Bezwingt Aszendentenfürst Obsidius in den Schwarzfelshöhlen.;Defeat Ascendant Lord Obsidius in Blackrock Caverns.;4490
4842;Pechschwingenabstieg;Blackwing Descent;Bezwingt die Bosse im Pechschwingenabstieg.;Defeat the bosses in Blackwing Descent.;3817
4857;Geselle der Archäologie;Journeyman Archaeologist;Erlangt 150 Fertigkeitspunkte in Archäologie.;Obtain 150 skill points in archaeology.;4727
4860;Teamarbeit;Working as a Team;Erlangt 525 Fertigkeitspunkte in allen Haupt- und Nebenberufen.;Obtain 525 skill points in all professions and secondary professions.;5272
4869;Abtauchen nach Vashj'ir;Sinking into Vashj'ir;Schließt 130 Quests in Vashj'ir ab.;Complete 130 quests in Vashj'ir.;4502
4881;Der Irdene Ring;The Earthen Ring;Erreicht beim Irdenen Ring den Status ehrfürchtig.;Earn Exalted status with the Earthen Ring.;5067
4896;Quests im Arathihochland;Arathi Highlands Quests;Schließt 18 Quests im Arathihochland ab.;Complete 18 quests in Arathi Highlands.;3542
4925;Quests im Eschental;Ashenvale Quests;Schließt 70 Quests im Eschental ab.;Complete 70 quests in Ashenvale.;3543
4943;Gildenstufe 5;Guild Level 5;Erreicht Gildenstufe 5.;Reach guild level 5.;5273
4950;Klassischer Dungeonmeister;Guild Classic Dungeonmaster;Schließt die unten aufgelisteten klassischen Dungeonerfolge in einer Gildengruppe ab.;Complete the classic dungeon achievements listed below in a guild group.;1949
4985;Gilde: Pechschwingenabstieg;Blackwing Descent Guild Run;Bezwingt die Bosse im Pechschwingenabstieg, während Ihr in einer Gildengruppe seid.;Defeat the bosses in Blackwing Descent while in a guild group.;3817
5016;Ich krieg' einfach nicht genug - Gildenedition;Just Can't Get Enough - Guild Edition;Bezwingt Kel'Thuzad in Naxxramas in einer Gildengruppe, wobei Ihr in seiner Kammer 18 Monstrositäten tötet.;Defeat Kel'Thuzad in Naxxramas while killing at least 18 abominations in his chamber while in a guild group.;2623
5038;Gilde: Flammenschlund;Ragefire Chasm Guild Run;Bezwingt Lavawächter Gordoth, während Ihr in einer Gildengruppe seid.;Defeat Lava Guard Gordoth while in a guild group.;1662
5067;Gilde - Heroisch: Höllenfeuerbollwerk;Heroic: Hellfire Ramparts Guild Run;Bezwingt die Anführer des Höllenfeuerbollwerks auf dem Schwierigkeitsgrad 'Heroisch', während Ihr in einer Gildengruppe seid.;Defeat the leaders of Hellfire Ramparts on Heroic Difficulty while in a guild group.;3680
5095;Gilde - Heroisch: Burg Utgarde;Heroic: Utgarde Keep Guild Run;Bezwingt Ingvar den Brandschatzer auf dem Schwierigkeitsgrad 'Heroisch', während Ihr in einer Gildengruppe seid.;Defeat Ingvar the Plunderer on Heroic Difficulty while in a guild group.;3225
5130;Diplomatie;Diplomacy;Erreicht bei 15 Fraktionen einen ehrfürchtigen Ruf.;Raise 15 reputations to Exalted.;3608
5132;Die Pflicht ruft;Call of Duty;Gewinnt ein gewertetes Schlachtfeld, während Ihr in einer Gildengruppe seid.;Win a rated battleground while in a guild group.;3583
5134;Gilde - Heroisch: Schwarzfelshöhlen;Heroic: Blackrock Caverns Guild Run;Bezwingt Aszendentenfürst Obsidius auf dem Schwierigkeitsgrad 'Heroisch', während Ihr in einer Gildengruppe seid.;Defeat Ascendant Lord Obsidius on Heroic difficulty while in a guild group.;4490
5159;Todesschwadron;Kill Squad;Erringt 100.000 ehrenhafte Siege.;Get 100,000 honorable kills.;2283
5208;Doppel auf dem Doppelgipfel;Twin Peaking;Gewinnt 2 Schlachten auf den Zwillingsgipfeln.;Win 2 Twin Peaks battles.;4832
5245;Sieg in der Schlacht um Gilneas;Battle for Gilneas Victory;Gewinnt die Schlacht um Gilneas.;Win Battle For Gilneas.;4495
5268;Im Dienste der Allianz;In Service of the Alliance;Gewinnt ein gewertetes Schlachtfeld.;Win a rated battleground.;1704
5407;Erste Gilde der Stufe 25 des Realms!;Realm First! Guild Level 25;Erste Gilde auf dem Realm, die Gildenstufe 25 erreicht.;First guild on the realm to reach guild level 25.;5277
5412;Sieg in Tol Barad;Tol Barad Victory;Gewinnt die Schlacht um Tol Barad.;Win the battle for Tol Barad.;4501
5421;Ganz schön rumgekommen;That's a Lot of Travel Time;Schließt 25.000 Quests ab.;Complete 25,000 quests.;5221
5459;Ruf der Schlacht;Call of Battle;Gewinnt eine gewertete Arenaschlacht, während Ihr in einer Gildengruppe seid.;Win a ranked arena match while in a guild group.;3039
5535;1000 Tapferkeitspunkte;1000 Valor Points;Verdient 1000 Tapferkeitspunkte.;Earn 1000 Valor Points.;5312
5724;Siege über Aszendentenfürst Obsidius (Schwarzfelshöhlen);Ascendant Lord Obsidius kills (Blackrock Caverns);;;1
6021;Blastenheimers Volltreffer;Blastenheimer Bullseye;Schafft eine Punktlandung, nachdem Ihr aus der Dunkelmond-Kanone geschossen wurdet.;Score a bullseye when launched from the Darkmoon Cannon.;2230
6135;Siege über Lavawache Gordoth (Flammenschlund);Lava Guard Gordoth kills (Ragefire Chasm);;;1
6147;Siege über Omor den Narbenlosen (Höllenfeuerbollwerk);Omor the Unscarred kills (Hellfire Ramparts);;;1
6300;Grün, grün, grün sind alle meine Wälder;Upjade Complete;Schließt die folgenden Geschichtsstränge im Jadewald ab.;Complete the Jade Forest storylines listed below.;6453
6351;Erkundet den Jadewald;Explore Jade Forest;Erkundet den Jadewald und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Jade Forest, revealing the covered areas of the world map.;6373
6366;Shado-Pan;Shado-Pan;Erreicht bei den Shado-Pan den Status ehrfürchtig.;Earn Exalted status with the Shado-Pan.;6508
6458;Die Wächter von Mogu'shan;Guardians of Mogu'shan;Bezwingt die ersten drei Bosse im Mogu'shangewölbe.;Defeat the first three bosses in Mogu'shan Vaults.;4641
6594;Kleinvieh macht auch Aua;Cat Fight!;Gewinnt 10 Haustierkämpfe.;Win 10 pet battles.;6680
6668;Gilde: Mogu'shangewölbe;Mogu'shan Vaults Guild Run;Bezwingt die Bosse im Mogu'shangewölbe, während Ihr in einer Gildengruppe seid.;Defeat the bosses in Mogu'shan Vaults while in a guild group.;6626
6739;Sieg in der Schlacht um die Silberbruchmine;Silvershard Mines Victory;Gewinnt die Schlacht um die Silberbruchmine.;Win Silvershard Mines.;6303
6740;Sieg in der Schlacht um den Tempel von Katmogu;Temple of Kotmogu Victory;Gewinnt die Schlacht um den Tempel von Katmogu.;Win Temple of Kotmogu.;6304
6757;Der Tempel der Jadeschlange;Temple of the Jade Serpent;Bezwingt das Sha des Zweifels im Tempel der Jadeschlange.;Defeat the Sha of Doubt in Temple of the Jade Serpent.;6064
6764;Gilde - Heroisch: Tempel der Jadeschlange;Heroic: Temple of the Jade Serpent Guild Run;Bezwingt das Sha des Zweifels im Tempel der Jadeschlange auf dem Schwierigkeitsgrad 'Heroisch', während Ihr in einer Gildengruppe seid.;Defeat the Sha of Doubt in Temple of the Jade Serpent on Heroic difficulty while in a guild group.;6064
6775;Siege über das Sha des Zweifels (Tempel der Jadeschlange);Sha of Doubt kills (Temple of the Jade Serpent);;;1
6884;Herausforderer des Tempels der Jadeschlange;Temple of the Jade Serpent Challenger;Schließt den Herausforderungsmodus des Tempels der Jadeschlange ab.;Complete the Temple of the Jade Serpent Challenge Mode.;7949
6921;Herausforderungsmeister (Gilde);Challenge Conquerors - Guild Edition;Schließt jeden Herausforderungsdungeon ab, während Ihr in einer Gildengruppe seid.;Complete every Challenge Mode dungeon while in a guild group.;6358
7385;Kneipenbummel;Pub Crawl;Schließt die unten aufgelisteten Braumeister-Szenarioerfolge ab.;Complete the Brewmaster scenario achievements listed below.;5456
7399;Abgeschlossene Dungeons im Herausforderungsmodus;Challenge mode dungeons completed;;;1
7433;Anfänger;Newbie;Bringt ein Haustier auf Stufe 3.;Raise a pet to level 3.;6608
7482;Ein außergewöhnlicher Trainer;Trainer Extraordinaire;Erringt 100 Erfolgspunkte in Haustierkämpfen.;Earn 100 pet battle achievement points.;6619
7947;Die erste Regel der Kampfgilde lautet...;The First Rule of Brawler's Guild;Werdet zu einem Grubenkampf in Bizmos Boxbar in der Tiefenbahn eingeladen.;Get invited to brawl at Bizmo's Brawlpub in the Deeprun Tram.;232
8331;Sieg in der Tiefenwindschlucht;Deepwind Gorge Victory;Gewinnt in der Tiefenwindschlucht.;Win Deepwind Gorge.;6374
8381;Erbitterte Eroberung;Grievous Conquest;Verdient 27.000 Eroberungspunkte während der Saison 14.;Earn 27,000 Conquest Points in Season 14.;3387
8486;Feuerprobe: Bronzener Schaden;Proving Yourself: Bronze Damage;Schließt die Feuerprobe: Grundlagen - Schaden (Bronze) erfolgreich ab.;Successfully complete the Basic Damage (Bronze) trial at the Proving Grounds.;6261
8514;Höchster Punktestand in der Feuerprobe: Grundlagen - Schaden (Endlos);Highest score on Basic Damage (Endless) at the Proving Grounds;Höchster Punktestand in der Feuerprobe: Grundlagen - Schaden (Endlos).;Highest score on the Basic Damage (Endless) trial at the Proving Grounds;1
7;Stufe 20;Level 20;Erreicht Stufe 20.;Reach level 20.;3269
15;Jede Menge Haustiere;Plenty of Pets;Sammelt 15 einzigartige Haustiere.;Collect 15 unique pets.;1522
43;Erkundet Kalimdor;Explore Kalimdor;Erkundet die Regionen Kalimdors.;Explore the regions of Kalimdor.;3491
59;Tode im Arathibecken;Deaths in Arathi Basin;Tode im Arathibecken;Deaths in Arathi Basin;1
95;Durchschnittlich abgeschlossene Quests pro Tag;Average quests completed per day;Durchschnittlich abgeschlossene Quests pro Tag;Average quests completed per day;0
122;Expertenkoch;Expert Cook;Erlangt 225 Fertigkeitspunkte im Kochen.;Obtain 225 skill points in cooking.;1467
127;Expertenangler;Expert Fisherman;Erlangt 225 Fertigkeitspunkte im Angeln.;Obtain 225 skill points in fishing.;580
132;Experte in Erster Hilfe;Expert Medic;Erlangt 225 Fertigkeitspunkte in Erster Hilfe.;Obtain 225 skill points in first aid.;504
155;Veteran des Arathibeckens;Arathi Basin Veteran;Erringt 100 Siege im Arathibecken.;Complete 100 victories in Arathi Basin.;3382
167;Veteran der Kriegshymnenschlucht;Warsong Gulch Veteran;Erringt 100 Siege in der Kriegshymnenschlucht.;Complete 100 victories in Warsong Gulch.;3388
209;Veteran im Auge des Sturms;Eye of the Storm Veteran;Erringt 100 Siege im Auge des Sturms.;Complete 100 victories in Eye of the Storm.;3385
219;Veteran des Alteractals;Alterac Valley Veteran;Erringt 100 Siege im Alteractal.;Complete 100 victories in Alterac Valley.;3378
252;Kleiner Helfer in der Not;With a Little Helper from My Friends;Erringt 50 ehrenhafte Siege als kleiner Helfer der Winterwundervolt-Maschine.;Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.;3679
260;Glücksbringer;Charming;Stellt 12 hübsche Glücksbringerarmreife her.;Create 12 Lovely Charm Bracelets.;4134
271;Feuriger Sonnenbaumtanz;Burning Hot Pole Dance;Tanzt 60 Sekunden lang am Sonnenbaum, während Ihr das komplette Sonnenwendset tragt.;Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.;3262
288;Raus damit;Out With It;Esst so viele Süßigkeiten, dass Ihr Bauchschmerzen bekommt.;Eat so many Tricky Treats that you get an upset tummy.;97
318;Gesamtzahl der Tode durch die gegnerische Fraktion;Total deaths from opposite faction;;;4
320;Duelle verloren;Duels lost;Duelle verloren;Duels lost;4
342;Erhaltene epische Gegenstände;Epic items acquired;Erhaltene epische Gegenstände;Epic items acquired;4
378;Höchste Anzahl Fraktionen auf Respektvoll oder höher;Most factions at Revered or higher;Höchste Anzahl Fraktionen auf Respektvoll oder höher;Most factions at Revered or higher;4
381;Weltweite ehrenhafte Siege;World Honorable Kills;Weltweite ehrenhafte Siege;World Honorable Kills;4
398;Gnadenlos ehrgeizig;Mercilessly Dedicated;Gewinnt 100 gewertete Arenakämpfe.;Win 100 ranked arena matches.;3593
489;Heroisch: Burg Utgarde;Heroic: Utgarde Keep;Bezwingt die Bosse in Burg Utgarde auf dem Schwierigkeitsgrad 'Heroisch'.;Defeat the Utgarde Keep bosses on Heroic Difficulty.;3225
504;100 Quests abgeschlossen;100 Quests Completed;Schließt 100 Quests ab.;Complete 100 quests.;3420
527;Schwerster erlittener Treffer;Largest hit received;Schwerster erlittener Treffer;Largest hit received;1
594;Tode durch Hogger;Deaths from Hogger;Tode durch Hogger;Deaths from Hogger;1
606;5 Münzen der Urahnen;5 Coins of Ancestry;Erhaltet 5 Münzen der Urahnen.;Receive 5 Coins of Ancestry.;2717
625;Besiegt den Schwarzen Drachenschwarm (25 Spieler);Besting the Black Dragonflight (25 player);Bezwingt Sartharion den Onyxwächter im 25-Spieler-Modus.;Defeat Sartharion the Onyx Guardian in 25-player mode.;3255
627;Erkundet Dun Morogh;Explore Dun Morogh;Erkundet Dun Morogh und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Dun Morogh, revealing the covered areas of the world map.;3531
628;Todesminen;Deadmines;Bezwingt „Kapitän“ Krümel.;Defeat "Captain" Cookie.;1751
648;Der Blutkessel;The Blood Furnace;Bezwingt Keli'dan den Zerstörer.;Defeat Keli'dan the Breaker.;3629
731;Handwerksexperte;Professional Expert;Erlangt 225 Fertigkeitspunkte in einem Beruf.;Obtain 225 skill points in a profession.;2846
736;Erkundet Mulgore;Explore Mulgore;Erkundet Mulgore und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Mulgore, revealing the covered areas of the world map.;3562
753;Im Durchschnitt pro Tag verdientes Gold;Average gold earned per day;Im Durchschnitt pro Tag verdientes Gold;Average gold earned per day;1
764;Der brennende Kreuzritter;The Burning Crusader;Bringt alle „Burning Crusade“-Dungeonrufe auf ehrfürchtig.;Raise all of The Burning Crusade dungeon reputations to Exalted.;2365
798;Wiedergeburten durch Druiden;Rebirthed by druids;Wiedergeburten durch Druiden;Rebirthed by druids;1
838;Gespielte Arenen;Arenas played;Gespielte Arenen;Arenas played;1
863;Erkundet die Zangarmarschen;Explore Zangarmarsh;Erkundet die Zangarmarschen und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Zangarmarsh, revealing the covered areas of the world map.;3585
918;Tode in 5-Spieler-Dungeons insgesamt;Total deaths in 5-player dungeons;Tode in 5-Spieler-Dungeons insgesamt;Total deaths in 5-player dungeons;1
933;10-Spieler-Schlachtzügen beigetreten;Total 10-player raids entered;10-Spieler-Schlachtzügen beigetreten;Total 10-player raids entered;1
944;Die stehen auf mich in diesem Tunnel;They Love Me In That Tunnel;Erreicht bei der Holzschlundfeste den Status ehrfürchtig.;Earn Exalted status with Timbermaw Hold.;3685
949;Tuskarrmageddon;Tuskarrmageddon;Erreicht bei den Kalu'ak den Status ehrfürchtig.;Earn Exalted status with The Kalu'ak.;3702
1047;Anzahl der /ohgotts;Total facepalms;Anzahl der /ohgotts;Total facepalms;1
1068;Siege über Keli'dan den Zerstörer (Blutkessel);Keli'dan the Breaker kills (The Blood Furnace);Siege über Keli'dan den Zerstörer (Blutkessel);Keli'dan the Breaker kills (The Blood Furnace);541
1091;Siege über Krümel (Todesminen);Captain Cookie kills (Deadmines);;;2692
1107;Tode in 3vs3-Arenakämpfen;Deaths in 3v3;Tode in 3vs3-Arenakämpfen;Deaths in 3v3;1
1125;Am häufigsten angelegter Verband;Bandage used most;Am häufigsten angelegter Verband;Bandage used most;4
1189;Durchs Höllenfeuer und zurück;To Hellfire and Back;Schließt 76 Quests auf der Höllenfeuerhalbinsel ab.;Complete 76 quests in Hellfire Peninsula.;3554
1198;Siege insgesamt, die Erfahrung oder Ehrenpunkte verleihen;Total kills that grant experience or honor;Siege insgesamt, die Erfahrung oder Ehrenpunkte verleihen;Total kills that grant experience or honor;1
1201;Berufe auf maximaler Stufe;Professions at maximum skill;Berufe auf maximaler Stufe;Professions at maximum skill;1
1203;Seltsames Gebräu;Strange Brew;Erhaltet die unten aufgelisteten Braufestbiere. Aber nicht alle auf einmal trinken!;Acquire the Brewfest beers listed below. Don't drink them all at once!;1780
1263;Erkundet den Heulenden Fjord;Explore Howling Fjord;Erkundet den Heulenden Fjord und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Howling Fjord, revealing the covered areas of the world map.;3331
1309;Veteran des Strands der Uralten;Strand of the Ancients Veteran;Erringt 100 Siege am Strand der Uralten.;Complete 100 victories in Strand of the Ancients.;3402
1337;Unterschiedliche Arten von Kreaturen getötet;Different creature types killed;Unterschiedliche Arten von Kreaturen getötet;Different creature types killed;1
1358;Rauf und runter in der Tundra;Nothing Boring About Borean;Schließt 150 Quests in der Boreanischen Tundra ab.;Complete 150 quests in Borean Tundra.;3336
1464;Erhaltene Embleme des Heldentums;Emblems of Heroism acquired;Erhaltene Embleme des Heldentums;Emblems of Heroism acquired;1
1488;Todesstöße weltweit;World Killing Blows;Addiert aus Azeroth, Nordend, etc.;Cumulative for Azeroth, Northrend etc.;4
1504;Siege über Ingvar den Brandschatzer (Heroisch: Burg Utgarde);Ingvar the Plunderer kills (Heroic Utgarde Keep);Siege über Ingvar den Brandschatzer (Heroisch: Burg Utgarde);Ingvar the Plunderer kills (Heroic Utgarde Keep);2813
1525;Tägliche Kochquests abgeschlossen;Cooking daily quests completed;Tägliche Kochquests abgeschlossen;Cooking daily quests completed;2923
1693;Liebestoll;Fool For Love;Schließt die unten aufgelisteten Erfolge von 'Liebe liegt in der Luft' ab.;Complete the Love is in the Air achievements listed below.;3699
1718;Veteran von Tausendwinter;Wintergrasp Veteran;Gewinnt 100 Schlachten um Tausendwinter.;Win 100 battles for Wintergrasp.;187
1729;Erlernte Alchemierezepte;Alchemy Recipes learned;Erlernte Alchemierezepte;Alchemy Recipes learned;4
1788;Schlechtes Vorbild;Bad Example;Esst die unten aufgelisteten Süßigkeiten, während Euer Waisenkind zusieht.;Eat the sweets listed below while your orphan is watching.;1519
2277;Beschwörungen angenommen;Summons accepted;Beschwörungen angenommen;Summons accepted;1
2396;Am häufigsten betretenes Schlachtfeld;Battleground played the most;Am häufigsten betretenes Schlachtfeld;Battleground played the most;1
2417;Schokoladenliebhaber;Chocolate Lover;Esst 25 Stück Nobelgartenschokolade während des Nobelgartenfests.;Eat 25 Noblegarden Chocolates during the Noblegarden celebration.;3706
