itemid;iconname
1225;INV_Misc_Bone_04
1236;INV_Misc_Gear_06
1244;INV_Misc_Bag_07
1246;INV_Misc_Book_06
1248;INV_Misc_Gear_03
1249;INV_Potion_15
1257;INV_Misc_Urn_01
1262;INV_Misc_Gem_Stone_01
1270;INV_Misc_PocketWatch_02
1272;INV_Misc_Bandana_03
1275;INV_Potion_12
1277;INV_Misc_Bag_09_Green
1280;INV_Misc_Bag_07_Green
1281;INV_Misc_Bag_09_Black
1282;INV_Misc_Bag_10_Black
1283;INV_Misc_Bag_07_Black
1285;INV_Misc_Bag_11
1288;INV_Potion_19
1297;INV_Misc_Food_Wheat_01
1301;INV_Scroll_03
1310;INV_Misc_Head_Orc_01
1312;INV_TradeskillItem_01
1317;INV_Misc_Book_11
1322;INV_Misc_Map_01
1323;INV_Scroll_03
1325;INV_Scroll_03
1329;INV_Misc_Bandana_01
1330;INV_Shirt_02
1357;INV_Pants_02
1361;INV_Misc_Fish_02
1379;INV_Pick_02
1383;INV_Axe_01
1386;INV_Axe_01
1390;INV_Axe_01
1395;INV_Misc_Shell_01
1399;INV_Jewelry_Amulet_05
1407;INV_Gauntlets_09
1432;INV_Chest_Fur
1438;INV_Misc_Organ_06
1442;INV_Misc_Herb_05
1443;INV_Misc_Food_Wheat_02
1464;INV_Misc_Herb_07
1482;INV_Potion_18
1483;INV_Misc_Food_09
1494;INV_Helmet_04
1496;INV_Misc_MonsterClaw_03
1498;INV_Misc_MonsterClaw_02
1503;INV_Misc_Bone_03
1504;INV_Misc_Eye_01
1511;INV_Chest_Chain
1512;INV_Pants_02
1515;INV_Misc_Bone_01
1542;INV_Sword_04
1544;INV_Sword_04
1546;INV_Sword_04
1547;INV_Sword_04
1550;INV_Sword_04
1556;INV_Sword_04
1588;INV_Misc_Book_09
1593;INV_Sword_04
1595;INV_Hammer_03
1596;INV_Hammer_03
1597;INV_Hammer_03
1621;INV_Sword_06
1625;INV_Misc_Bag_10_Blue
1627;INV_Sword_04
1628;INV_Sword_06
1644;INV_Shield_06
1645;INV_Misc_MonsterClaw_04
1656;INV_Potion_15
1657;INV_Gauntlets_04
1659;INV_Misc_Gem_Sapphire_02
1661;INV_Hammer_03
1673;INV_Shield_09
1680;INV_Shield_09
1682;INV_Pick_01
1684;INV_Shield_09
1685;INV_Shield_09
1695;INV_Misc_Orb_04
1699;INV_Jewelry_Ring_03
1705;INV_Shield_04
1706;INV_Shield_04
1716;INV_Staff_08
1727;INV_Chest_Chain
1728;INV_Gauntlets_05
1733;INV_Spear_05
1755;INV_Shield_09
1757;INV_Shield_09
1758;INV_Hammer_02
1762;INV_Misc_Food_13
1766;INV_Sword_04
1768;INV_Staff_08
1769;INV_Misc_MonsterClaw_04
1787;INV_Chest_Wolf
1795;INV_Gauntlets_04
1796;INV_Gauntlets_04
1797;INV_Chest_Wolf
1805;INV_Potion_01
1815;INV_Misc_Bag_07
1816;INV_Misc_Ammo_Bullet_01
1817;INV_Shirt_01
1818;INV_Pants_01
1819;INV_Shirt_02
1839;INV_Mace_01
1845;INV_Weapon_ShortBlade_05
1861;INV_Boots_05
1863;INV_Pants_01
1882;INV_Pants_01
1883;INV_Pants_01
1911;INV_Boots_05
1926;INV_Staff_08
1927;INV_Staff_08
1928;INV_Sword_04
1929;INV_Sword_04
1930;INV_Sword_04
1938;INV_Weapon_Rifle_04
1963;INV_Pants_02
1965;INV_Jewelry_Ring_03
1966;INV_Boots_03
1967;INV_Shirt_02
1975;INV_Shirt_02
1978;INV_Pants_02
1980;INV_Jewelry_Ring_03
1981;INV_Boots_03
1995;INV_Chest_Wolf
2015;INV_Gauntlets_07
2018;INV_Pants_02
2019;INV_Chest_Fur
2024;INV_Shirt_02
2038;INV_Mace_01
2052;INV_Shield_09
2057;INV_Gauntlets_05
2080;INV_Shield_05
2083;INV_Boots_04
2094;INV_Boots_05
2100;INV_Chest_Wolf
2101;INV_Gauntlets_05
2104;INV_Chest_Wolf
2105;INV_Boots_07
2106;INV_Chest_Wolf
2111;INV_Boots_05
2118;INV_Jewelry_Ring_02
2149;INV_Shield_03
2163;INV_Shirt_01
2164;INV_Gauntlets_06
2166;INV_Boots_09
2176;INV_Pants_Wolf
2178;INV_Jewelry_Ring_03
2181;INV_Shield_04
2183;INV_Shirt_01
2185;INV_Pants_01
2186;INV_Gauntlets_06
2191;INV_Shirt_01
2193;INV_Gauntlets_06
2201;INV_Pants_01
2202;INV_Gauntlets_06
2204;INV_Boots_09
2208;INV_Shield_09
2210;INV_Shield_09
2212;INV_Misc_Bone_01
2213;INV_Gauntlets_06
2219;INV_Jewelry_Ring_02
2222;INV_Chest_Chain
2230;INV_Jewelry_Ring_02
2247;INV_Scroll_03
2249;INV_Misc_Net_01
2250;INV_Shirt_02
2257;INV_Chest_Chain
2265;INV_Chest_Chain
2299;INV_Pants_01
2300;INV_Gauntlets_06
2304;INV_Shirt_01
2307;INV_Gauntlets_06
2308;INV_Pants_01
2311;INV_Pants_01
2317;INV_Shirt_01
2318;INV_Pants_01
2324;INV_Shield_10
2329;INV_Shield_03
2333;INV_Shield_04
2342;INV_Boots_07
2345;INV_Potion_02
2348;INV_Potion_04
2351;INV_Potion_11
2354;INV_Potion_18
2355;INV_Boots_07
2357;INV_Potion_13
2358;INV_Gauntlets_05
2359;INV_Gauntlets_05
2360;INV_Gauntlets_05
2361;INV_Gauntlets_05
2362;INV_Gauntlets_05
2363;INV_Chest_Wolf
2364;INV_Belt_01
2365;INV_Pants_02
2366;INV_Boots_08
2367;INV_Jewelry_Ring_03
2368;INV_Gauntlets_05
2370;INV_Chest_Wolf
2373;INV_Boots_08
2375;INV_Gauntlets_05
2376;INV_Misc_Food_13
2380;INV_Sword_06
2382;INV_Mace_01
2397;INV_Staff_02
2409;INV_Weapon_Rifle_01
2410;INV_Weapon_Rifle_07
2412;INV_Weapon_Rifle_02
2413;INV_Weapon_Rifle_03
2414;INV_Ammo_Arrow_02
2418;INV_Ammo_Bullet_02
2428;INV_Axe_03
2434;INV_Sword_05
2440;INV_Hammer_04
2456;INV_Shield_02
2457;INV_Misc_Bandana_01
2460;INV_Misc_Bone_08
2466;INV_Hammer_04
2469;INV_Staff_08
2470;INV_Shirt_01
2471;INV_Shirt_01
2472;INV_Shirt_01
2473;INV_Misc_Food_16
2474;INV_Misc_Food_18
2475;INV_Misc_Bag_10
2480;INV_Misc_Dust_02
2481;INV_Gauntlets_07
2489;INV_Gauntlets_06
2490;INV_Shirt_01
2496;INV_Boots_05
2499;INV_Shirt_01
2503;INV_Shirt_01
2504;INV_Misc_Bandana_03
2509;INV_Staff_03
2515;INV_Potion_19
2516;INV_Misc_Gem_Diamond_02
2533;INV_Potion_12
2539;INV_Shoulder_06
2551;INV_Misc_Idol_01
2552;INV_Shield_09
2553;INV_Shield_09
2557;INV_Shield_11
2561;INV_Jewelry_Ring_03
2563;INV_Shoulder_08
2564;INV_Chest_Wolf
2571;INV_Scroll_03
2577;INV_Shirt_01
2578;INV_Gauntlets_05
2584;INV_Misc_Bag_09_Blue
2585;INV_Misc_Bag_09
2586;INV_Misc_Bag_09_Red
2588;INV_Misc_Bag_10_Blue
2591;INV_Misc_Bag_07_Blue
2592;INV_Misc_Bag_07_Red
2593;INV_Misc_Bag_12
2594;INV_Shield_06
2596;INV_Misc_Dust_02
2599;INV_Misc_Food_14
2609;INV_Gauntlets_06
2610;INV_Pants_01
2616;INV_Scroll_01
2617;INV_Helmet_06
2618;INV_Misc_Flute_01
2621;INV_Misc_QuestionMark
2622;INV_Misc_Idol_02
2627;INV_Misc_Birdbeck_02
2628;INV_Pants_02
2629;INV_Pants_01
2637;INV_Misc_Slime_01
2638;INV_Misc_Dust_02
2641;INV_Misc_Food_02
2644;INV_Chest_Wolf
2645;INV_Shirt_02
2656;INV_Pants_02
2663;INV_Shirt_01
2667;INV_Jewelry_Talisman_05
2669;INV_Weapon_ShortBlade_05
2684;INV_Pick_02
2686;INV_Gauntlets_05
2698;INV_Weapon_ShortBlade_01
2699;INV_Weapon_ShortBlade_05
2701;INV_Axe_01
2704;INV_Weapon_ShortBlade_05
2705;INV_Weapon_ShortBlade_01
2706;INV_Weapon_ShortBlade_01
2707;INV_Weapon_ShortBlade_05
2708;INV_Weapon_ShortBlade_05
2710;INV_Weapon_ShortBlade_01
2711;INV_Weapon_ShortBlade_05
2717;INV_Weapon_ShortBlade_05
2733;INV_Spear_05
2738;INV_Weapon_ShortBlade_05
2743;INV_Weapon_ShortBlade_02
2757;INV_Misc_Book_08
2760;INV_Ammo_Arrow_01
2765;INV_Weapon_ShortBlade_05
2767;INV_Axe_01
2775;INV_Hammer_03
2776;INV_Hammer_03
2780;INV_Sword_04
2781;INV_Sword_04
2786;INV_Weapon_Bow_05
2787;INV_Weapon_Bow_05
2788;INV_Misc_Flower_02
2793;INV_Misc_Herb_07
2807;INV_Axe_03
2809;INV_Weapon_ShortBlade_03
2820;INV_Misc_PocketWatch_01
2829;INV_Chest_Chain
2839;INV_Hammer_01
2840;INV_Staff_01
2849;INV_Belt_01
2853;INV_Misc_Bone_HumanSkull_01
2854;INV_Jewelry_Ring_03
2861;INV_Mace_01
2868;INV_Spear_05
2873;INV_Potion_08
2874;INV_Misc_MonsterScales_02
2880;INV_Jewelry_Ring_02
2881;INV_Jewelry_Ring_02
2885;INV_Misc_Slime_01
2897;INV_Pants_03
2904;INV_Misc_Food_16
2916;INV_Shield_09
2922;INV_Pants_03
2925;INV_Misc_Bandana_03
2928;INV_Boots_01
2934;INV_Shield_02
2936;INV_Helmet_02
2943;INV_Staff_08
2945;INV_Misc_Head_Human_01
2947;INV_Potion_19
2951;INV_Gauntlets_04
2952;INV_Gauntlets_03
2953;INV_Shoulder_02
2964;INV_Shirt_01
2967;INV_Chest_Chain
2968;INV_Chest_Plate01
2969;INV_Pants_03
2970;INV_Belt_01
2971;INV_Boots_01
2973;INV_Gauntlets_04
2976;INV_Pants_03
2977;INV_Boots_01
2980;INV_Jewelry_Ring_02
2981;INV_Gauntlets_05
2982;INV_Chest_Chain
2984;INV_Boots_01
2985;INV_Belt_01
2986;INV_Boots_01
2987;INV_Jewelry_Ring_02
2988;INV_Gauntlets_04
2989;INV_Pants_03
2990;INV_Boots_07
2993;INV_Boots_01
3004;INV_Misc_Eye_01
3006;INV_Weapon_ShortBlade_05
3007;INV_Gauntlets_04
3018;INV_Letter_05
3019;INV_Letter_03
3020;INV_Letter_15
3021;INV_Letter_15
3022;INV_Letter_15
3023;INV_Letter_12
3024;INV_Letter_08
3026;INV_Jewelry_Talisman_06
3027;INV_Letter_04
3029;INV_Letter_13
3030;INV_Letter_06
3031;INV_Letter_05
3032;INV_Letter_04
3033;INV_Letter_10
3034;INV_Letter_04
3035;INV_Letter_05
3036;INV_Boots_07
3040;INV_Chest_Wolf
3048;INV_Letter_02
3049;INV_Shirt_01
3050;INV_Pants_02
3051;INV_Boots_09
3052;INV_Gauntlets_05
3056;INV_Gauntlets_05
3057;INV_Chest_Chain
3058;INV_Pants_03
3062;INV_Pants_02
3064;INV_Shirt_01
3065;INV_Pants_02
3066;INV_Boots_09
3069;INV_Pants_03
3070;INV_Boots_01
3078;INV_Pants_02
3080;INV_Boots_03
3082;INV_Chest_Chain
3083;INV_Pants_03
3084;INV_Boots_01
3085;INV_Gauntlets_05
3086;INV_Helmet_03
3087;INV_Misc_Spyglass_03
3092;INV_Sword_03
3093;INV_Letter_15
3116;INV_Misc_Urn_01
3118;INV_Misc_Key_04
3121;INV_Belt_01
3124;INV_Misc_MonsterScales_02
3127;INV_Misc_MonsterSpiderCarapace_01
3128;INV_Helmet_08
3135;INV_Helmet_04
3145;INV_Axe_01
3146;INV_Misc_MonsterClaw_01
3152;INV_Potion_06
3153;INV_Jewelry_Ring_02
3154;INV_Misc_Book_01
3155;INV_Axe_01
3161;INV_Potion_01
3164;INV_Misc_Pelt_Wolf_02
3169;INV_Shoulder_08
3171;INV_Helmet_04
3172;INV_Boots_09
3173;INV_Pants_01
3175;INV_Weapon_ShortBlade_01
3177;INV_Misc_Eye_01
3179;INV_Pants_02
3185;INV_Weapon_Bow_12
3186;INV_Weapon_Bow_12
3187;INV_Weapon_Bow_03
3188;INV_Weapon_Rifle_05
3190;INV_Weapon_Rifle_01
3200;INV_Chest_Wolf
3201;INV_Pants_02
3204;INV_Chest_Fur
3205;INV_Pants_02
3206;INV_Gauntlets_05
3212;INV_Gauntlets_05
3213;INV_Sword_04
3217;INV_Pants_02
3218;INV_Gauntlets_05
3225;INV_Misc_Food_25
3233;INV_Misc_Bone_02
3237;INV_Misc_Bag_06
3243;INV_Axe_04
3244;INV_Belt_01
3247;INV_Belt_01
3248;INV_Pants_02
3249;INV_Jewelry_Ring_03
3251;INV_Belt_01
3253;INV_Jewelry_Ring_03
3254;INV_Belt_01
3257;INV_Misc_Gear_02
3258;INV_Misc_Gear_01
3261;INV_Boots_01
3265;INV_Shirt_01
3268;INV_Pants_02
3269;INV_Boots_01
3271;INV_Shirt_01
3272;INV_Hammer_03
3278;INV_Shirt_01
3288;INV_Misc_Food_24
3289;INV_Shirt_01
3291;INV_Shirt_01
3292;INV_Pants_01
3293;INV_Chest_Chain
3297;INV_Axe_01
3299;INV_Gauntlets_05
3302;INV_Jewelry_Ring_03
3307;INV_Misc_MonsterClaw_01
3309;INV_Boots_01
3311;INV_Jewelry_Ring_02
3320;INV_Misc_Organ_01
3331;INV_Scroll_02
3332;INV_Jewelry_Ring_03
3334;INV_Boots_01
3335;INV_Belt_01
3337;INV_Misc_Bag_07
3356;INV_Helmet_04
3363;INV_Weapon_ShortBlade_03
3367;INV_Axe_04
3375;INV_Axe_04
3377;INV_Jewelry_Ring_02
3379;INV_Jewelry_Ring_02
3382;INV_Jewelry_Ring_02
3387;INV_Jewelry_Ring_03
3388;INV_Jewelry_Ring_03
3390;INV_Chest_Fur
3392;INV_Belt_01
3394;INV_Belt_01
3395;INV_Boots_01
3396;INV_Shoulder_09
3397;INV_Misc_Food_17
3405;INV_Staff_08
3406;INV_Jewelry_Ring_01
3409;INV_Pants_03
3410;INV_Misc_Bag_01
3411;INV_Letter_02
3413;INV_Chest_Plate01
3414;INV_Pants_04
3415;INV_Boots_01
3416;INV_Gauntlets_04
3418;INV_Belt_01
3422;INV_Misc_Organ_01
3426;INV_Misc_Book_03
3427;INV_Misc_Herb_06
3429;INV_Misc_Bone_05
3432;INV_Pants_02
3433;INV_Misc_Bandana_03
3441;INV_Pants_03
3442;INV_Pants_Wolf
3443;INV_Boots_05
3444;INV_Gauntlets_06
3447;INV_Sword_04
3453;INV_Jewelry_Ring_03
3454;INV_Boots_01
3486;INV_Misc_Head_Scourge_01
3487;INV_Misc_Bag_10_Black
3494;INV_Misc_Gem_Bloodstone_03
3500;INV_Gauntlets_06
3502;INV_Hammer_04
3504;INV_Robe_01
3506;INV_Boots_01
3509;INV_Staff_08
3510;INV_Chest_Chain
3515;INV_Gauntlets_05
3517;INV_Jewelry_Ring_03
3518;INV_Gauntlets_05
3519;INV_Pants_03
3520;INV_Chest_Chain
3524;INV_Gauntlets_05
3528;INV_Gauntlets_05
3533;INV_Boots_01
3534;INV_Shirt_02
3541;INV_Pants_03
3549;INV_Boots_05
3550;INV_Weapon_ShortBlade_01
3551;INV_Robe_02
3552;INV_Shirt_01
3553;INV_Belt_01
3555;INV_Boots_05
3562;INV_Shirt_01
3563;INV_Misc_MonsterScales_03
3565;INV_Misc_Bag_03
3568;INV_Misc_Bag_10_Green
3573;INV_Misc_Bone_01
3576;INV_Belt_01
3582;INV_Belt_01
3587;INV_Pants_01
3589;INV_Helmet_04
3596;INV_Misc_MonsterClaw_02
3602;INV_Bracer_04
3606;INV_Bracer_06
3613;INV_Bracer_04
3642;INV_Bracer_12
3643;INV_Bracer_11
3652;INV_Bracer_08
3653;INV_Bracer_08
3654;INV_Bracer_08
3655;INV_Bracer_02
3656;INV_Bracer_05
3657;INV_Bracer_07
3658;INV_Bracer_07
3663;INV_Potion_07
3664;INV_Potion_10
3665;INV_Potion_05
3666;INV_Jewelry_Ring_01
3667;INV_Misc_Orb_02
3668;INV_Misc_MonsterScales_01
3669;INV_Misc_Rune_01
3671;INV_Misc_Bone_06
3672;INV_Misc_Bone_05
3673;INV_Misc_Net_01
3685;INV_Shirt_01
3686;INV_Shirt_01
3696;INV_Belt_01
3699;INV_Weapon_Rifle_05
3700;INV_Chest_Wolf
3704;INV_Bracer_08
3709;INV_Boots_05
3710;INV_Boots_05
3713;INV_Boots_07
3715;INV_Boots_04
3719;INV_Chest_Wolf
3727;INV_Staff_01
3732;INV_Gauntlets_04
3738;INV_Boots_03
3740;INV_Bracer_07
3746;INV_Mace_01
3747;INV_Shoulder_09
3749;INV_Boots_09
3750;INV_Boots_05
3755;INV_Boots_05
3757;INV_Boots_05
3759;INV_Misc_Organ_05
3760;INV_Chest_Chain
3766;INV_Boots_01
3767;INV_Bracer_07
3771;INV_Gauntlets_05
3780;INV_Hammer_04
3785;INV_Helmet_04
3788;INV_Potion_19
3794;INV_Sword_04
3797;INV_Axe_04
3816;INV_Stone_03
3826;INV_Pants_02
3827;INV_Boots_08
3828;INV_Gauntlets_05
3829;INV_Bracer_04
3830;INV_Helmet_04
3831;INV_Chest_Fur
3832;INV_Chest_Fur
3833;INV_Pants_02
3834;INV_Pants_02
3835;INV_Boots_08
3836;INV_Boots_08
3837;INV_Pants_02
3838;INV_Chest_Fur
3839;INV_Gauntlets_05
3841;INV_Bracer_04
3842;INV_Bracer_04
3843;INV_Chest_Fur
3844;INV_Pants_02
3845;INV_Gauntlets_05
3846;INV_Gauntlets_05
3847;INV_Gauntlets_05
3848;INV_Gauntlets_05
3850;INV_Gauntlets_07
3864;INV_Banner_02
3865;INV_Banner_02
3868;INV_Crown_01
3869;INV_Helmet_06
3871;INV_Shoulder_05
3872;INV_Belt_01
3875;INV_Gauntlets_05
3882;INV_Pants_02
3888;INV_Shirt_02
3889;INV_Axe_04
3895;INV_Bracer_11
3896;INV_Bracer_13
3897;INV_Bracer_13
3899;INV_Bracer_10
3900;INV_Shirt_01
3902;
3913;INV_Gauntlets_09
3914;INV_Misc_Head_Orc_01
3915;INV_Misc_Bone_04
3916;INV_Misc_MonsterClaw_03
3917;INV_Misc_Bone_HumanSkull_01
3918;INV_Misc_Head_Human_01
3920;INV_Misc_Head_Dwarf_01
3925;INV_Weapon_ShortBlade_01
3931;INV_Shield_09
3932;INV_Shield_09
3940;INV_Hammer_03
3947;INV_Staff_05
3960;INV_Helmet_04
3977;
3979;INV_Gauntlets_04
3980;INV_Gauntlets_05
3983;INV_Gauntlets_05
3984;INV_Gauntlets_05
3986;INV_Gauntlets_09
3992;INV_Gauntlets_05
3993;INV_Gauntlets_03
3994;INV_Gauntlets_05
3998;INV_Gauntlets_05
3999;INV_Gauntlets_06
4006;INV_Misc_Gem_Ruby_01
4008;INV_Boots_01
4009;INV_Boots_09
4011;INV_Boots_03
4014;INV_Boots_03
4020;INV_Boots_08
4023;INV_Boots_09
4024;INV_Boots_05
4027;INV_Boots_07
4028;INV_Boots_01
4030;INV_Boots_01
4031;INV_Boots_01
4033;INV_Boots_01
4045;INV_Misc_Organ_02
4049;INV_Misc_Book_04
4050;INV_Misc_Rune_01
4056;INV_Misc_Bag_10_Red
4063;INV_Bracer_11
4079;
4084;INV_Helmet_04
4085;INV_Chest_Chain
4099;INV_Belt_01
4100;INV_Chest_Fur
4102;INV_Belt_01
4108;INV_Shield_10
4109;INV_Shoulder_03
4110;INV_Scroll_08
4112;INV_Misc_Food_15
4113;INV_Misc_Food_13
4129;INV_Sword_06
4130;INV_Shield_04
4133;INV_Potion_12
4134;INV_Potion_14
4135;INV_Potion_06
4136;INV_Potion_03
4143;INV_Boots_09
4144;INV_Bracer_07
4148;INV_Pants_05
4149;INV_Pants_03
4151;INV_Chest_Chain
4153;INV_Boots_01
4154;INV_Weapon_ShortBlade_04
4171;INV_Misc_Gem_Diamond_02
4176;INV_Helmet_04
4177;INV_Helmet_03
4181;INV_Axe_01
4202;
4233;INV_Ammo_Bullet_01
4255;INV_Gauntlets_05
4256;INV_Helmet_04
4258;INV_Misc_Bone_06
4259;INV_Bracer_07
4262;INV_Misc_Bone_HumanSkull_01
4263;INV_Pants_02
4265;INV_Pants_02
4270;INV_Shirt_01
4272;INV_Boots_05
4275;INV_Bracer_05
4280;INV_Misc_Coin_06
4282;INV_Mace_01
4283;INV_Misc_Spyglass_02
4284;INV_Jewelry_Ring_02
4287;INV_Misc_Key_03
4291;INV_Weapon_Halberd_04
4292;INV_Shirt_01
4293;INV_Pants_01
4296;INV_Boots_05
4297;INV_Belt_01
4298;INV_Shirt_01
4299;INV_Shirt_01
4300;INV_Belt_01
4301;INV_Boots_05
4302;INV_Bracer_13
4303;INV_Gauntlets_05
4304;INV_Pants_01
4305;INV_Shirt_01
4306;INV_Belt_01
4307;INV_Boots_05
4308;INV_Bracer_13
4310;INV_Pants_01
4311;INV_Chest_Wolf
4312;INV_Pants_Wolf
4313;INV_Bracer_08
4314;INV_Boots_03
4315;INV_Belt_01
4318;INV_Gauntlets_05
4320;INV_Chest_Wolf
4324;INV_Shoulder_08
4325;INV_Chest_Wolf
4329;INV_Belt_01
4330;INV_Boots_01
4331;INV_Bracer_03
4332;INV_Gauntlets_04
4333;INV_Pants_03
4334;INV_Chest_Chain
4335;INV_Belt_01
4336;INV_Boots_01
4337;INV_Bracer_03
4338;INV_Gauntlets_04
4339;INV_Pants_03
4340;INV_Chest_Chain
4341;INV_Chest_Chain
4342;INV_Belt_01
4343;INV_Boots_01
4344;INV_Bracer_03
4345;INV_Gauntlets_04
4346;INV_Pants_03
4361;INV_Misc_Lantern_01
4365;INV_Pants_02
4369;INV_Helmet_04
4370;INV_Gauntlets_05
4375;INV_Gauntlets_05
4376;INV_Bracer_07
4377;INV_Pants_02
4380;INV_Boots_09
4381;INV_Helmet_03
4382;INV_Bracer_03
4385;INV_Boots_07
4386;INV_Helmet_03
4388;INV_Pants_02
4389;INV_Boots_07
4390;INV_Chest_Wolf
4395;INV_Pants_02
4398;INV_Pants_02
4403;INV_Shield_10
4404;INV_Shield_05
4405;INV_Shield_02
4407;INV_Chest_Chain
4412;INV_Chest_Chain
4413;INV_Gauntlets_05
4416;INV_Pants_03
4418;INV_Pants_03
4419;INV_Pants_03
4421;INV_Chest_Chain
4422;INV_Gauntlets_04
4426;INV_Weapon_Bow_10
4427;INV_Weapon_Rifle_05
4433;INV_Misc_MonsterScales_01
4435;INV_Letter_13
4438;INV_Gauntlets_04
4439;INV_Pants_02
4440;INV_Boots_07
4441;INV_Weapon_Bow_06
4444;INV_Belt_01
4446;INV_Misc_Bandana_03
4448;INV_Bracer_07
4449;INV_Boots_07
4450;INV_Belt_01
4455;INV_Shoulder_07
4458;INV_Shield_06
4460;INV_Belt_01
4463;INV_Boots_03
4464;INV_Jewelry_Ring_03
4466;INV_Boots_05
4469;INV_Pants_Wolf
4470;INV_Gauntlets_05
4471;INV_Bracer_05
4472;INV_Boots_03
4473;INV_Belt_01
4474;INV_Chest_Wolf
4475;INV_Pants_02
4476;INV_Gauntlets_05
4478;INV_Bracer_08
4483;INV_Shoulder_05
4484;INV_Boots_07
4485;INV_Gauntlets_07
4486;INV_Shoulder_08
4487;INV_Boots_09
4488;INV_Shoulder_05
4491;INV_Shoulder_08
4492;INV_Chest_Wolf
4493;INV_Boots_05
4494;INV_Bracer_08
4497;INV_Pants_02
4499;INV_Belt_03
4500;INV_Misc_Bandana_01
4505;INV_Belt_05
4506;INV_Misc_Bandana_01
4507;INV_Belt_02
4511;INV_Misc_Bandana_03
4517;INV_Belt_04
4519;INV_Belt_05
4520;INV_Belt_04
4522;INV_Belt_05
4523;INV_Belt_05
4524;INV_Belt_04
4525;INV_Belt_04
4528;INV_Belt_06
4532;INV_Belt_04
4535;INV_Belt_04
4536;INV_Misc_Bandana_01
4538;INV_Belt_04
4539;INV_Misc_Bandana_01
4540;INV_Belt_04
4541;INV_Belt_04
4542;INV_Misc_Bandana_01
4543;INV_Belt_05
4544;INV_Belt_04
4545;INV_Belt_06
4547;INV_Belt_06
4550;INV_Belt_09
4553;INV_Belt_05
4557;INV_Belt_03
4562;INV_Belt_05
4567;INV_Belt_07
4569;INV_Belt_04
4570;INV_Belt_05
4571;INV_Belt_05
4572;INV_Belt_05
4583;INV_Gauntlets_05
4584;INV_Misc_Bag_10
4588;INV_Shirt_02
4589;INV_Shirt_02
4590;INV_Belt_04
4591;INV_Belt_04
4592;INV_Belt_06
