avid;avname;avdesc;avcat;
73;Der Recke des Beckens;Greift 3 Basen in einer einzigen Arathibeckenschlacht an.;14802;
94;Quests abgebrochen;Quests abgebrochen;133;
95;Durchschnittlich abgeschlossene Quests pro Tag;Durchschnittlich abgeschlossene Quests pro Tag;133;
97;Tägliche Quests abgeschlossen;Tägliche Quests abgeschlossen;133;
98;Quests abgeschlossen;Quests abgeschlossen;133;
99;Kämpfe in den Ruinen von Lordaeron;Kämpfe in den Ruinen von Lordaeron;152;
100;Siege im Ring der Prüfungen;Siege im Ring der Prüfungen;152;
101;Kämpfe im Ring der Prüfungen;Kämpfe im Ring der Prüfungen;152;
102;Siege in den Ruinen von Lordaeron;Siege in den Ruinen von Lordaeron;152;
103;Kämpfe im Zirkel des Blutes;Kämpfe im Zirkel des Blutes;152;
104;Siege im Zirkel des Blutes;Siege im Zirkel des Blutes;152;
105;Siege in der Kriegshymnenschlucht;Siege in der Kriegshymnenschlucht;153;
107;Kreaturen getötet;Kreaturen getötet;135;
108;Tiere getötet;Tiere getötet;135;
110;Am häufigsten getöteter 5-Spieler-Boss in Wrath of the Lich King;Am häufigsten getöteter 5-Spieler-Boss in Wrath of the Lich King;14807;
112;Tode durch Ertrinken;Tode durch Ertrinken;126;
113;Tode durch Erschöpfung;Tode durch Erschöpfung;126;
114;Tode durch Stürze;Tode durch Stürze;126;
115;Tode durch Feuer und Lava;Tode durch Feuer und Lava;126;
116;Handwerksgeselle;Erlangt 150 Fertigkeitspunkte in einem Beruf.;169;
121;Kochgeselle;Erlangt 150 Fertigkeitspunkte im Kochen.;170;
122;Expertenkoch;Erlangt 225 Fertigkeitspunkte im Kochen.;170;
123;Der Kochfachmann;Erlangt 300 Fertigkeitspunkte im Kochen.;170;
124;Meisterkoch;Erlangt 375 Fertigkeitspunkte im Kochen.;170;
125;Großmeisterkoch;Erlangt 450 Fertigkeitspunkte im Kochen.;170;
126;Anglergeselle;Erlangt 150 Fertigkeitspunkte im Angeln.;171;
127;Expertenangler;Erlangt 225 Fertigkeitspunkte im Angeln.;171;
128;Anglerfachmann;Erlangt 300 Fertigkeitspunkte im Angeln.;171;
129;Meisterangler;Erlangt 375 Fertigkeitspunkte im Angeln.;171;
130;Anglergroßmeister;Erlangt 450 Fertigkeitspunkte im Angeln.;171;
131;Geselle in Erster Hilfe;Erlangt 150 Fertigkeitspunkte in Erster Hilfe.;172;
132;Experte in Erster Hilfe;Erlangt 225 Fertigkeitspunkte in Erster Hilfe.;172;
133;Fachmann in Erster Hilfe;Erlangt 300 Fertigkeitspunkte in Erster Hilfe.;172;
134;Meister der Ersten Hilfe;Erlangt 375 Fertigkeitspunkte in Erster Hilfe.;172;
135;Großmeister der Ersten Hilfe;Erlangt 450 Fertigkeitspunkte in Erster Hilfe.;172;
137;Vorrat aufstocken;Stellt 500 schwere Froststoffverbände her.;172;
141;Ultimative Triage;Verbindet einen Spieler bei einer Gesundheit von weniger als 5% mit einem schweren Froststoffverband oder jeglichem Glutseiden- oder Windwollverband.;172;
144;Das Grauen aus der Tiefe;Angelt das Grauen aus der Tiefe in der Höhle des Schlangenschreins.;171;
150;Der angelnde Diplomat;Bekommt etwas in Orgrimmar und Sturmwind an den Haken.;171;
153;Der alte Gnom und das Meer;Angelt erfolgreich in einem Schwarm.;171;
154;Sieg im Arathibecken;Gewinnt im Arathibecken.;14802;
155;Veteran des Arathibeckens;Erringt 100 Siege im Arathibecken.;14802;
156;Territoriale Vorherrschaft;Gewinnt 10 Schlachten im Arathibecken, während Ihr 5 Flaggen kontrolliert.;14802;
157;Rettungseinsatz!;Eilt im Arathibecken 50-mal zur Verteidigung einer Basis, indem Ihr die Flagge zurückerobert.;14802;
158;Flaggenjagd;Erobert 50 Flaggen im Arathibecken.;14802;
159;Auf die Schnelle;Gewinnt im Arathibecken in 6 Minuten.;14802;
161;Zäher Sieg;Übersteht einen Ressourcennachteil von 500 in einem Kampf im Arathibecken und erringt den Sieg.;14802;
162;War doch kinderleicht *hust*;Gewinnt im Arathibecken mit einem Vorsprung von 50 Punkten oder weniger.;14802;
165;Arathibecken-Perfektion;Gewinnt im Arathibecken mit einer Wertung von 1.600 zu 0.;14802;
166;Sieg in der Kriegshymnenschlucht;Gewinnt in der Kriegshymnenschlucht.;14804;
167;Veteran der Kriegshymnenschlucht;Erringt 100 Siege in der Kriegshymnenschlucht.;14804;
168;Kriegshymnenperfektion;Gewinnt die Kriegshymnenschlucht mit einem Ergebnis von 3:0.;14804;
178;Erlernte Verzauberungsformeln;Erlernte Verzauberungsformeln;173;
181;Entzauberte Gegenstände;Entzauberte Gegenstände;173;
183;Durch Entzaubern produzierte Materialien;Durch Entzaubern produzierte Materialien;173;
189;Höchste gewirkte Heilung;Höchste gewirkte Heilung;141;
193;Schwerster verursachter Treffer;Schwerster verursachter Treffer;141;
197;Verursachter Schaden insgesamt;Verursachter Schaden insgesamt;141;
198;Heilung durchgeführt insgesamt;Heilung durchgeführt insgesamt;141;
199;Erobert die Flagge;Ergreift und erobert persönlich die Flagge in der Kriegshymnenschlucht.;14804;
200;Hartnäckiger Verteidiger;Bringt als Verteidiger in der Kriegshymnenschlucht 50 Flaggen zurück.;14804;
201;Motivation der Kriegshymne;Gewinnt in der Kriegshymnenschlucht in weniger als 7 Minuten.;14804;
202;Schnelle Flagge;Ergreift und erobert die Flagge in weniger als 75 Sekunden.;14804;
203;Nicht in meinem Haus;Tötet in einer einzigen Schlacht in der Kriegshymnenschlucht 2 Flaggenträger, bevor sie den Flaggenraum der Silberschwingen verlassen.;14804;
204;Aus Stahl;Ergreift und erobert in einer einzigen Schlacht in der Kriegshymnenschlucht die Flagge 3-mal, ohne zu sterben.;14804;
206;Überragender Verteidiger;Tötet 100 Flaggenträger in der Kriegshymnenschlucht.;14804;
207;Rettet den Tag;Tötet den Gegner, der Eure Flagge in den Flaggenraum des gegnerischen Teams trägt, während sich die Flagge des gegnerischen Teams unter ihrer Kontrolle in ihrer Basis befindet.;14804;
208;Sieg im Auge des Sturms;Gewinnt im Auge des Sturms.;14803;
209;Veteran im Auge des Sturms;Erringt 100 Siege im Auge des Sturms.;14803;
211;Stürmischer Ruhm;Nehmt persönlich die Flagge in Besitz, während Euer Team 4 Basen im Auge des Sturms hält.;14803;
212;Sturmeroberer;Ergreift und erobert persönlich die Flagge im Auge des Sturms.;14803;
213;Sturmsoldat;Tötet 5 Flaggenträger in einem einzigen Auge des Sturms.;14803;
214;Der Sturm;Gewinnt im Auge des Sturms in weniger als 6 Minuten.;14803;
216;Für den Ruhm;Erobert in einem einzigen Auge des Sturm-Kampfes die Flagge 3-mal, ohne zu sterben.;14803;
218;Sieg im Alteractal;Gewinnt im Alteractal.;14801;
219;Veteran des Alteractals;Erringt 100 Siege im Alteractal.;14801;
220;Sturmlanzenperfektion;Gewinnt im Alteractal ohne einen Turm oder Hauptmann zu verlieren. Ihr müsst auch sämtliche Türme der Horde kontrollieren.;14801;
221;Alterac-Grabjäger;Nehmt 50 Friedhöfe im Alteractal ein.;14801;
222;Turmverteidigung;Verteidigt 50 Türme im Alteractal.;14801;
223;Die kranke Gazelle;Tötet einen Gegner auf dem Feld des Kampfes im Alteractal, bevor er absteigt.;14801;
224;Loyaler Verteidiger;Tötet im Alteractal 50 gegnerische Spieler in der Halle der Frostwölfe.;14801;
225;Alles zählt;Gewinnt im Alteractal, während Euer Team beide Minen kontrolliert.;14801;
226;Der Alteracblitz;Gewinnt im Alteractal innerhalb von 6 Minuten.;14801;
227;Schadenskontrolle;Verursacht in einer einzigen Schlacht auf einem beliebigen Schlachtfeld 300.000 Schaden oder Heilung. Muss einen Spieler als Ziel haben.;95;
229;Todesengel;Erringt 30 ehrenhafte Siege in einer einzigen Schlacht auf einem beliebigen Schlachtfeld.;95;
230;Kampfmeister;Schließt die unten aufgelisteten Schlachtfeld-Erfolge ab.;95;
231;Abrisskugel;Erringt 20 Todesstöße in einer einzigen Schlacht auf einem beliebigen Schlachtfeld, ohne selbst zu sterben.;95;
233;Blutrünstiger Berserker;Erringt einen Todesstoß, während Ihr im Auge des Sturms unter dem Stärkungszauber Berserker steht.;14803;
238;Ein ehrenhafter Sieg;Erringt einen ehrenhaften Sieg.;95;
239;25.000 ehrenhafte Siege;Erringt 25.000 ehrenhafte Siege.;95;
245;Klasse & Stil;Erringt einen ehrenhaften Todesstoß gegen einen Vertreter jeder Klasse.;95;
246;Kenne deinen Feind;Erringt einen ehrenhaften Todesstoß bei sieben verschiedenen Völkern.;95;
247;Make Love, Not Warcraft;Umarmt (/umarmen) einen toten Gegner, bevor der Geist freigelassen wird.;95;
248;Smoking und Häschen;Findet das weiße Smokinghemd und die schwarze Smokinghose, indem Ihr die bunt gefärbten Eier während des Nobelgartenfests öffnet.;159;
249;Dem Anlass entsprechend gekleidet;Entdeckt ein elegantes Kleid, indem Ihr die bunt gefärbten Eier während des Nobelgartenfests öffnet.;159;
252;Kleiner Helfer in der Not;Erringt 50 ehrenhafte Siege als kleiner Helfer der Winterwundervolt-Maschine.;156;
255;Bringt mir den Kopf von... oh, wartet mal;Tötet den kopflosen Reiter.;158;
259;Mitten ins Gesicht;Werft während des Winterhauchfests einen Schneeball auf Baine Bluthuf.;156;
260;Glücksbringer;Stellt 12 hübsche Glücksbringerarmreife her.;187;
263;Legt den Frostfürsten auf Eis;Tötet Ahune in den Sklavenunterkünften.;161;
271;Feuriger Sonnenbaumtanz;Tanzt 60 Sekunden lang am Sonnenbaum, während Ihr das komplette Sonnenwendset tragt.;161;
272;Fackeljongleur;Jongliert in Dalaran 40 Fackeln in 15 Sekunden.;161;
273;Auf Metzen!;Rettet Metzen das Rentier.;156;
275;Tierhüterveteran;Erhaltet das Ei des Kolumbus, den schläfrigen Willy und das Elekkhalsband mit einem Charakter.;163;
277;Alle Jahre wieder;Zieht Euch während des Winterhauchfests 3 Winterkleidungsstücke an und esst Graccus hausgemachte Früchtepastete.;156;
279;Einfach grässlich;Schließt die Quest zur Wiederbeschaffung von Kokelwälders gestohlenen Leckereien ab und erhaltet ein Dankeschön von Kokelwälder.;156;
281;Erste-Hilfe-Fertigkeit;Erste-Hilfe-Fertigkeit;178;
283;Die Maskerade;Lasst Euch von den unten aufgelisteten Stäben der Verwandlung transformieren.;158;
284;Eine Maske für jede Gelegenheit;Sammelt die 24 unten aufgelisteten einzigartigen Masken.;158;
288;Raus damit;Esst so viele Süßigkeiten, dass Ihr Bauchschmerzen bekommt.;158;
289;Held der Schlotternächte;Schließt eine der Quests zum Erretten eines Dorfes vor dem kopflosen Reiter ab.;158;
291;Kopfschmuck;Benutzt gewichtige Kürbislaternen, um Kürbisköpfe auf jedes der unten aufgelisteten Völker zu setzen.;158;
292;Finstere Berufung;Erhaltet ein Gruselkürbis-Haustier und einen Gruselhelm über die Weltereignisse der Schlotternächte.;158;
293;Öffentliche Ruhestörung;Zieht Euch 3 Braufestkleidungsstücke an, sorgt dafür, dass Ihr sternhagelvoll seid, und tanzt in Dalaran.;162;
295;Düsterbräufest;Tötet Coren Düsterbräu.;162;
303;Hab' ein Fass, jetzt will ich reisen;Erhaltet ein Braufestreittier, oder verwandelt Euer Reittier in eines, indem Ihr Braufesthopfen verwendet.;162;
306;Meisterangler von Azeroth;Erringt den ersten, zweiten oder dritten Platz beim Angelwettbewerb in der Beutebucht.;171;
318;Gesamtzahl der Tode durch die gegnerische Fraktion;;21;
319;Duelle gewonnen;Duelle gewonnen;154;
320;Duelle verloren;Duelle verloren;154;
321;Tode in Schlachtzügen und Dungeons insgesamt;Tode in Schlachtzügen und Dungeons insgesamt;125;
326;Durch Questbelohnungen erhaltenes Gold;Durch Questbelohnungen erhaltenes Gold;140;
328;Erhaltenes Gold insgesamt;Erhaltenes Gold insgesamt;140;
329;Erstellte Auktionen;Erstellte Auktionen;140;
330;Auktionserwerbungen;Auktionserwerbungen;140;
331;Höchstes Gebot auf eine Auktion;Höchstes Gebot auf eine Auktion;140;
332;Teuerste verkaufte Auktion;Teuerste verkaufte Auktion;140;
333;Geplündertes Gold;Geplündertes Gold;140;
334;Die größte Menge jemals besessenen Goldes;Die größte Menge jemals besessenen Goldes;140;
338;Anzahl der besessenen Haustiere;Anzahl der besessenen Haustiere;191;
339;Reittiere besessen;Reittiere besessen;191;
341;Geplünderte epische Gegenstände;Geplünderte epische Gegenstände;191;
342;Erhaltene epische Gegenstände;Erhaltene epische Gegenstände;191;
344;Angelegte Verbände;Angelegte Verbände;145;
345;Heiltränke verbraucht;Heiltränke verbraucht;145;
346;Getränke verbraucht;Getränke verbraucht;145;
347;Nahrung konsumiert;Nahrung konsumiert;145;
349;Bereiste Flugrouten;Bereiste Flugrouten;134;
350;Benutzte Magierportale;Benutzte Magierportale;134;
353;Anzahl der Nutzungen des Ruhesteins;Anzahl der Nutzungen des Ruhesteins;134;
362;5vs5-Siege;5vs5-Siege;152;
363;5vs5-Kämpfe;5vs5-Kämpfe;152;
364;3vs3-Siege;3vs3-Siege;152;
365;3vs3-Kämpfe;3vs3-Kämpfe;152;
366;2vs2-Siege;2vs2-Siege;152;
367;2vs2-Kämpfe;2vs2-Kämpfe;152;
370;Höchste persönliche 2-Spieler-Wertung;Höchste persönliche 2-Spieler-Wertung;152;
374;Höchste 2-Spieler-Teamwertung;Höchste 2-Spieler-Teamwertung;152;
377;Höchste Anzahl Fraktionen auf Ehrfürchtig;Höchste Anzahl Fraktionen auf Ehrfürchtig;147;
378;Höchste Anzahl Fraktionen auf Respektvoll oder höher;Höchste Anzahl Fraktionen auf Respektvoll oder höher;147;
381;Weltweite ehrenhafte Siege;Weltweite ehrenhafte Siege;136;
382;Ehrenhafte Siege auf Schlachtfeldern;Ehrenhafte Siege auf Schlachtfeldern;136;
383;Ehrenhafte Siege in Arenen;Ehrenhafte Siege in Arenen;136;
388;Stadtverteidiger;Erledigt 50 gegnerische Spieler in einer Eurer Heimatstädte.;95;
389;Gurubashi Arenameister;Plündert den Schmuck des Arenameisters in der Arena der Gurubashi.;95;
393;Türme im Alteractal verteidigt;Türme im Alteractal verteidigt;153;
394;Im Alteractal eingenommene Türme;Im Alteractal eingenommene Türme;153;
395;In der Kriegshymnenschlucht eingenommene Flaggen;In der Kriegshymnenschlucht eingenommene Flaggen;153;
396;Gurubashi Arenagroßmeister;Schließt die Quest von Störtebrecher ab, um den Schmuck des Arenagroßmeisters zu erhalten.;95;
397;Die Arena betreten;Gewinnt einen gewerteten Arenakampf.;165;
398;Gnadenlos ehrgeizig;Gewinnt 100 gewertete Arenakämpfe.;165;
399;Nur wir Zwei: 1.550;Erreicht eine persönliche Wertung von 1.550 in der 2vs2-Sparte der Arena.;165;
400;Nur wir Zwei: 1.750;Erreicht eine persönliche Wertung von 1.750 in der 2vs2-Sparte der Arena.;165;
401;Nur wir Zwei: 2.000;Erreicht eine persönliche Wertung von 2.000 in der 2vs2-Sparte der Arena.;165;
402;Dreierbande: 1.550;Erreicht eine persönliche Wertung von 1.550 in der 3vs3-Sparte der Arena.;165;
403;Dreierbande: 1.750;Erreicht eine persönliche Wertung von 1.750 in der 3vs3-Sparte der Arena.;165;
404;Gib mir Fünf: 2.000;Erreicht eine persönliche Wertung von 2.000 in der 5vs5-Sparte der Arena.;165;
405;Dreierbande: 2.000;Erreicht eine persönliche Wertung von 2.000 in der 3vs3-Sparte der Arena.;165;
406;Gib mir Fünf: 1.550;Erreicht eine persönliche Wertung von 1.550 in der 5vs5-Sparte der Arena.;165;
407;Gib mir Fünf: 1.750;Erreicht eine persönliche Wertung von 1.750 in der 5vs5-Sparte der Arena.;165;
408;Siegesserie;Gewinnt zehn gewertete Kämpfe in Folge.;165;
409;Da war es nur noch einer;Seid der einzige Überlebende am Ende eines gewerteten 5vs5-Kampfes.;165;
411;Murky;Stolzer Besitzer von Murky von der BlizzCon in Anaheim, Kalifornien (2005).;81;
412;Murlockostüm;Stolzer Besitzer des Murlockostüms von der BlizzCon in Anaheim, Kalifornien (2007).;81;
414;Tyraels Schwertgriff;Stolzer Besitzer von Tyraels Schwertgriff vom World Wide Invitational in Paris, Frankreich (2008).;81;
415;Großer Blizzardbär;Stolzer Besitzer des Großen Blizzardbären von der BlizzCon (2008).;81;
416;Skarabäusfürst;Die Tore von Ahn'Qiraj geöffnet.;81;
418;Erbarmungsloser Gladiator;Den Titel 'Erbarmungsloser Gladiator' erhalten.;81;
419;Rachsüchtiger Gladiator;Den Titel 'Rachsüchtiger Gladiator' erhalten.;81;
420;Brutaler Gladiator;Den Titel 'Brutaler Gladiator' erhalten.;81;
424;Warum? Weil er rot ist!;Erhaltet einen roten Qirajiresonanzkristall.;81;
425;Atiesh, Hohestab des Wächters;Träger von Atiesh, Hohestab des Wächters.;81;
426;Kriegsgleven von Azzinoth;Träger eines Sets der Kriegsgleven von Azzinoth.;81;
428;Donnerzorn, Gesegnete Klinge des Windsuchers;Träger von Donnerzorn, Gesegnete Klinge des Windsuchers.;81;
429;Sulfuras, Hand von Ragnaros;Träger von Sulfuras, Hand von Ragnaros.;81;
430;Kriegsbär der Amani;Besitzer des Kriegsbären der Amani.;81;
431;Hand von A'dal;Den Titel „Hand von A'dal“ erhalten.;81;
432;Champion der Naaru;Den Titel „Champion der Naaru“ erhalten.;81;
433;Großmarschall;Den Titel „Großmarschall“ erhalten.;81;
434;Feldmarschall;Den Titel „Feldmarschall“ erhalten.;81;
435;Rittmeister(in);Den Titel „Rittmeister(in)“ erhalten.;81;
436;Feldkommandant(in);Den Titel „Feldkommandant(in)“ erhalten.;81;
437;Ritter der Allianz;Den Titel „Ritter der Allianz“ erhalten.;81;
438;Kürassier;Den Titel „Kürassier“ erhalten.;81;
439;Leutnant;Den Titel „Leutnant“ erhalten.;81;
440;Fähnrich;Den Titel „Fähnrich“ erhalten.;81;
441;Feldwebel;Den Titel „Feldwebel“ erhalten.;81;
442;Gefreite(r);Den Titel „Gefreite(r)“ erhalten.;81;
443;Oberste(r) Kriegsfürst(in);Den Titel „Oberste(r) Kriegsfürst(in)“ erhalten.;81;
444;Sturmreiter(in);Den Titel „Sturmreiter(in)“ erhalten.;81;
445;Kriegsfürst(in);Den Titel „Kriegsfürst(in)“ erhalten.;81;
446;Kriegsherr(in);Den Titel „Kriegsherr(in)“ erhalten.;81;
447;Feldherr(in);Den Titel „Feldherr(in)“ erhalten.;81;
448;Klinge der Horde;Den Titel „Klinge der Horde“ erhalten.;81;
449;Blutgardist(in);Den Titel „Blutgardist(in)“ erhalten.;81;
450;Schlachtrufer(in);Den Titel „Schlachtrufer(in)“ erhalten.;81;
451;Steingardist(in);Den Titel „Steingardist(in)“ erhalten.;81;
452;Rottenmeister(in);Den Titel „Rottenmeister(in)“ erhalten.;81;
453;Waffenträger(in);Den Titel „Waffenträger(in)“ erhalten.;81;
454;Späher(in);Den Titel „Späher(in)“ erhalten.;81;
456;Erster Obsidianvernichter des Realms!;An der ersten Vernichtung von Sartharion dem Onyxwächter im 25-Spieler-Modus auf dem Realm teilgenommen.;81;
457;Erster Stufe-80-Charakter des Realms!;Erste Person des Realms, die Stufe 80 erreicht hat.;81;
458;Erster Stufe-80-Schurke des Realms!;Erster Schurke des Realms, der Stufe 80 erreicht hat.;81;
459;Erster Stufe-80-Krieger des Realms!;Erster Krieger des Realms, der Stufe 80 erreicht hat.;81;
460;Erster Stufe-80-Magier des Realms!;Erster Magier des Realms, der Stufe 80 erreicht hat.;81;
461;Erster Stufe-80-Todesritter des Realms!;Erster Todesritter des Realms, der Stufe 80 erreicht hat.;81;
462;Erster Stufe-80-Jäger des Realms!;Erster Jäger des Realms, der Stufe 80 erreicht hat.;81;
463;Erster Stufe-80-Hexenmeister des Realms!;Erster Hexenmeister des Realms, der Stufe 80 erreicht hat.;81;
464;Erster Stufe-80-Priester des Realms!;Erster Priester des Realms, der Stufe 80 erreicht hat.;81;
465;Erster Stufe-80-Paladin des Realms!;Erster Paladin des Realms, der Stufe 80 erreicht hat.;81;
466;Erster Stufe-80-Druide des Realms!;Erster Druide des Realms, der Stufe 80 erreicht hat.;81;
467;Erster Stufe-80-Schamane des Realms!;Erster Schamane des Realms, der Stufe 80 erreicht hat.;81;
468;Grunzer(in);Den Titel „Grunzer(in)“ erhalten.;81;
469;Zornbringer(in);Den Titel „Zornbringer(in)“ erhalten.;81;
470;Fußknecht;Den Titel „Fußknecht“ erhalten.;81;
471;Landsknecht;Den Titel „Landsknecht“ erhalten.;81;
472;Hauptmann;Den Titel „Hauptmann“ erhalten.;81;
473;Marschall;Den Titel „Marschall“ erhalten.;81;
477;Burg Utgarde;Bezwingt die Bosse der Burg Utgarde.;14806;
478;Der Nexus;Bezwingt die Bosse des Nexus.;14806;
479;Das Ausmerzen von Stratholme;Bezwingt die Bosse in den Höhlen der Zeit: Stratholme.;14806;
480;Azjol-Nerub;Bezwingt die Bosse in Azjol-Nerub.;14806;
481;Ahn'kahet: Das Alte Königreich;Bezwingt die Bosse in Ahn'kahet: Das Alte Königreich.;14806;
482;Feste Drak'Tharon;Bezwingt die Bosse in der Feste Drak'Tharon.;14806;
483;Die Violette Festung;Bezwingt Cyanigosa in der Violetten Festung.;14806;
484;Gundrak;Bezwingt die Bosse in Gundrak.;14806;
485;Hallen des Steins;Bezwingt die Bosse in den Hallen des Steins.;14806;
486;Die Hallen der Blitze;Bezwingt die Bosse in den Hallen der Blitze.;14806;
487;Das Oculus;Bezwingt die Bosse im Oculus.;14806;
488;Turm Utgarde;Bezwingt die Bosse in Turm Utgarde.;14806;
489;Heroisch: Burg Utgarde;Bezwingt die Bosse in Burg Utgarde auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
490;Heroisch: Der Nexus;Bezwingt die Nexusbosse auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
491;Heroisch: Azjol-Nerub;Bezwingt die Bosse von Azjol-Nerub auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
492;Heroisch: Ahn'kahet: Das Alte Königreich;Bezwingt die Bosse von Ahn'kahet: Das Alte Königreich auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
493;Heroisch: Feste Drak'Tharon;Bezwingt die Bosse der Feste Drak'Tharon auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
494;Heroisch: Die Violette Festung;Bezwingt Cyanigosa in der Violetten Festung auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
495;Heroisch: Gundrak;Bezwingt die Bosse in Gundrak auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
496;Heroisch: Hallen des Steins;Bezwingt die Bosse der Hallen des Steins auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
497;Heroisch: Hallen der Blitze;Bezwingt die Bosse der Hallen der Blitze auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
498;Heroisch: Das Oculus;Bezwingt die Bosse des Oculus auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
499;Heroisch: Turm Utgarde;Bezwingt die Bosse im Turm Utgarde auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
500;Heroisch: Das Ausmerzen von Stratholme;Bezwingt die Stratholme-Bosse in den Höhlen der Zeit auf dem Schwierigkeitsgrad 'Heroisch'.;14806;
503;50 Quests abgeschlossen;Schließt 50 Quests ab.;96;
504;100 Quests abgeschlossen;Schließt 100 Quests ab.;96;
505;250 Quests abgeschlossen;Schließt 250 Quests ab.;96;
506;500 Quests abgeschlossen;Schließt 500 Quests ab.;96;
507;1.000 Quests abgeschlossen;Schließt 1.000 Quests ab.;96;
508;1.500 Quests abgeschlossen;Schließt 1.500 Quests ab.;96;
509;10.000 ehrenhafte Siege;Erringt 10.000 ehrenhafte Siege.;95;
512;5.000 ehrenhafte Siege;Erringt 5.000 ehrenhafte Siege.;95;
513;100 ehrenhafte Siege;Erringt 100 ehrenhafte Siege.;95;
515;500 ehrenhafte Siege;Erringt 500 ehrenhafte Siege.;95;
516;1.000 ehrenhafte Siege;Erringt 1.000 ehrenhafte Siege.;95;
518;30 ehrfürchtige Fraktionen;Erreicht bei 30 Fraktionen einen ehrfürchtigen Ruf.;201;
519;25 ehrfürchtige Fraktionen;Erreicht bei 25 Fraktionen einen ehrfürchtigen Ruf.;201;
520;20 ehrfürchtige Fraktionen;Erreicht bei 20 Fraktionen einen ehrfürchtigen Ruf.;201;
521;15 ehrfürchtige Fraktionen;Erreicht bei 15 Fraktionen einen ehrfürchtigen Ruf.;201;
522;Jemand mag mich!;Erreicht einen ehrfürchtigen Ruf.;201;
523;5 ehrfürchtige Fraktionen;Erreicht bei 5 Fraktionen einen ehrfürchtigen Ruf.;201;
524;10 ehrfürchtige Fraktionen;Erreicht bei 10 Fraktionen einen ehrfürchtigen Ruf.;201;
527;Schwerster erlittener Treffer;Schwerster erlittener Treffer;141;
528;Erlittener Schaden insgesamt;Erlittener Schaden insgesamt;141;
529;Höchste Anzahl Fraktionen auf Wohlwollend oder höher;Höchste Anzahl Fraktionen auf Wohlwollend oder höher;147;
545;Rasur und Haarschnitt;Besucht einen Barbier und lasst Euch die Haare schneiden.;92;
